chunk_id,category,source_group,source_file,source_path,header_h1,header_h2_list,header_h3_list,header_path_start,header_path_end,text,token_count,faiss_row_id
stg5_v2_chunk_00001,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Краткий ответ"", ""Где посмотреть статус заказа?"", ""Где посмотреть статус заказа?"", ""Где посмотреть статус заказа?"", ""Где посмотреть статус заказа?"", ""Что означают статусы заказа?""]","[""На сайте"", ""В мобильном приложении"", ""Через службу поддержки"", ""Новый""]",Статус заказа и отслеживание > Краткий ответ,Статус заказа и отслеживание > Что означают статусы заказа? > Новый,"# Статус заказа и отслеживание ## Covered sections - Краткий ответ - Где посмотреть статус заказа? - Что означают статусы заказа? ## Covered subsections - На сайте - В мобильном приложении - Через службу поддержки - Новый Статус заказа можно проверить в личном кабинете в разделе «Мои заказы» или в мобильном приложении. После отправки заказа вы получите трек-номер для отслеживания на сайте транспортной компании. Если статус не обновляется более 3 рабочих дней, рекомендуем обратиться в службу поддержки. --- Проверить текущий статус заказа можно несколькими способами: 1. Войдите в личный кабинет 2. Перейдите в раздел «Мои заказы» 3. Найдите нужный заказ по номеру или дате 4. Текущий статус отображается рядом с номером заказа 1. Откройте приложение 2. Перейдите в раздел «Заказы» 3. Нажмите на нужный заказ для просмотра деталей Если у вас нет доступа к личному кабинету, вы можете узнать статус заказа: - в чате на сайте - по email: support@example-shop.ru - по телефону: 8-800-123-45-67 Для запроса статуса через поддержку потребуется номер заказа или email, указанный при оформлении. --- Заказ оформлен и принят в систему. Ожидает подтверждения оператором или автоматической обработки. Обычно этот статус длится от нескольких минут до 2 часов в рабочее время.",311,0
stg5_v2_chunk_00002,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Где посмотреть статус заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?""]","[""Через службу поддержки"", ""Новый"", ""Подтверждён"", ""В сборке"", ""Передан в доставку"", ""В пути""]",Статус заказа и отслеживание > Где посмотреть статус заказа? > Через службу поддержки,Статус заказа и отслеживание > Что означают статусы заказа? > В пути,"# Статус заказа и отслеживание ## Covered sections - Где посмотреть статус заказа? - Что означают статусы заказа? ## Covered subsections - Через службу поддержки - Новый - Подтверждён - В сборке - Передан в доставку - В пути Если у вас нет доступа к личному кабинету, вы можете узнать статус заказа: - в чате на сайте - по email: support@example-shop.ru - по телефону: 8-800-123-45-67 Для запроса статуса через поддержку потребуется номер заказа или email, указанный при оформлении. --- Заказ оформлен и принят в систему. Ожидает подтверждения оператором или автоматической обработки. Обычно этот статус длится от нескольких минут до 2 часов в рабочее время. Заказ подтверждён. Начинается сборка и подготовка к отправке. На этом этапе ещё можно внести изменения в заказ через службу поддержки. Заказ передан на склад для комплектации. Товары собираются и упаковываются. Изменения в составе заказа на этом этапе уже невозможны. Заказ передан транспортной компании. В ближайшее время появится трек-номер для отслеживания. Обычно трек-номер становится доступен в течение 24 часов после смены статуса. Заказ находится в процессе доставки. Отслеживайте перемещение по трек-номеру на сайте транспортной компании или в разделе «Мои заказы».",309,1
stg5_v2_chunk_00003,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Что означают статусы заказа?"", ""Почему статус заказа не меняется?""]","[""Передан в доставку"", ""В пути"", ""Готов к выдаче"", ""Доставлен"", ""Отменён""]",Статус заказа и отслеживание > Что означают статусы заказа? > Передан в доставку,Статус заказа и отслеживание > Почему статус заказа не меняется?,"# Статус заказа и отслеживание ## Covered sections - Что означают статусы заказа? - Почему статус заказа не меняется? ## Covered subsections - Передан в доставку - В пути - Готов к выдаче - Доставлен - Отменён Заказ передан транспортной компании. В ближайшее время появится трек-номер для отслеживания. Обычно трек-номер становится доступен в течение 24 часов после смены статуса. Заказ находится в процессе доставки. Отслеживайте перемещение по трек-номеру на сайте транспортной компании или в разделе «Мои заказы». Заказ доставлен в пункт выдачи или ожидает передачи курьеру для доставки по адресу. Хранение в пункте выдачи бесплатно до 7 дней. Заказ успешно получен. Если вы обнаружили проблему с товаром, обратитесь в поддержку в течение гарантийного срока. Заказ был отменён по вашей инициативе или по техническим причинам. Если была произведена оплата, деньги будут возвращены в течение 10 рабочих дней. --- Если статус заказа не обновляется, это может быть вызвано несколькими причинами:",247,2
stg5_v2_chunk_00004,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Что означают статусы заказа?"", ""Почему статус заказа не меняется?"", ""Почему статус заказа не меняется?"", ""Почему статус заказа не меняется?"", ""Почему статус заказа не меняется?""]","[""Отменён"", ""Заказ в статусе «Новый» более 2 часов"", ""Заказ в статусе «В сборке» более 2 дней"", ""Заказ в статусе «Передан в доставку», но трек-номер не появился""]",Статус заказа и отслеживание > Что означают статусы заказа? > Отменён,"Статус заказа и отслеживание > Почему статус заказа не меняется? > Заказ в статусе «Передан в доставку», но трек-номер не появился","# Статус заказа и отслеживание ## Covered sections - Что означают статусы заказа? - Почему статус заказа не меняется? ## Covered subsections - Отменён - Заказ в статусе «Новый» более 2 часов - Заказ в статусе «В сборке» более 2 дней - Заказ в статусе «Передан в доставку», но трек-номер не появился Заказ был отменён по вашей инициативе или по техническим причинам. Если была произведена оплата, деньги будут возвращены в течение 10 рабочих дней. --- Если статус заказа не обновляется, это может быть вызвано несколькими причинами: - В рабочее время (10:00–19:00 по Москве) подтверждение обычно происходит в течение 1–2 часов. - В нерабочее время, выходные и праздничные дни обработка может занять до следующего рабочего дня. - Если заказ не подтверждён более 24 часов, обратитесь в поддержку. - Возможно, один из товаров временно отсутствует на складе. - Возможно, идёт проверка оплаты (при некоторых способах оплаты). - Обратитесь в поддержку для уточнения. - Трек-номер обычно появляется в течение 24 часов после передачи в доставку. - Иногда транспортная компания обновляет данные с задержкой до 48 часов. - Если трек-номер не появился через 48 часов, обратитесь в поддержку.",296,3
stg5_v2_chunk_00005,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Почему статус заказа не меняется?"", ""Почему статус заказа не меняется?"", ""Когда появляется трек-номер?"", ""Когда появляется трек-номер?"", ""Когда появляется трек-номер?""]","[""Заказ в статусе «Передан в доставку», но трек-номер не появился"", ""Заказ в статусе «В пути» и не движется более 5 дней"", ""Сроки появления"", ""Где найти трек-номер""]","Статус заказа и отслеживание > Почему статус заказа не меняется? > Заказ в статусе «Передан в доставку», но трек-номер не появился",Статус заказа и отслеживание > Когда появляется трек-номер? > Где найти трек-номер,"# Статус заказа и отслеживание ## Covered sections - Почему статус заказа не меняется? - Когда появляется трек-номер? ## Covered subsections - Заказ в статусе «Передан в доставку», но трек-номер не появился - Заказ в статусе «В пути» и не движется более 5 дней - Сроки появления - Где найти трек-номер - Трек-номер обычно появляется в течение 24 часов после передачи в доставку. - Иногда транспортная компания обновляет данные с задержкой до 48 часов. - Если трек-номер не появился через 48 часов, обратитесь в поддержку. - Проверьте трек-номер на сайте транспортной компании. - Возможны задержки из-за логистических факторов (погода, загруженность, удалённый регион). - Если посылка не движется более 7 дней, обратитесь в поддержку — мы свяжемся с транспортной компанией. --- Трек-номер появляется после того, как заказ передан транспортной компании. - Обычно: в течение **24 часов** после смены статуса на «Передан в доставку» - В редких случаях: до **48 часов** (зависит от транспортной компании) - В личном кабинете в карточке заказа - В SMS-уведомлении - В email-уведомлении - В мобильном приложении",301,4
stg5_v2_chunk_00006,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Когда появляется трек-номер?"", ""Когда появляется трек-номер?"", ""Когда появляется трек-номер?"", ""Что делать, если заказ завис?"", ""Что делать, если заказ завис?""]","[""Сроки появления"", ""Где найти трек-номер"", ""Если трек-номер не появился"", ""Шаг 1. Проверьте нормальные сроки""]",Статус заказа и отслеживание > Когда появляется трек-номер? > Сроки появления,"Статус заказа и отслеживание > Что делать, если заказ завис? > Шаг 1. Проверьте нормальные сроки","# Статус заказа и отслеживание ## Covered sections - Когда появляется трек-номер? - Что делать, если заказ завис? ## Covered subsections - Сроки появления - Где найти трек-номер - Если трек-номер не появился - Шаг 1. Проверьте нормальные сроки - Обычно: в течение **24 часов** после смены статуса на «Передан в доставку» - В редких случаях: до **48 часов** (зависит от транспортной компании) - В личном кабинете в карточке заказа - В SMS-уведомлении - В email-уведомлении - В мобильном приложении - Подождите 48 часов с момента смены статуса на «Передан в доставку» - Если после 48 часов трек-номера нет, обратитесь в поддержку с номером заказа --- Если вы считаете, что заказ обрабатывается слишком долго или «завис» на одном статусе: Убедитесь, что прошло достаточно времени: - «Новый» → подтверждение: до 24 часов - «В сборке» → отправка: до 2 рабочих дней - «Передан в доставку» → трек-номер: до 48 часов - «В пути» → доставка: зависит от региона и способа доставки",275,5
stg5_v2_chunk_00007,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Что делать, если заказ завис?"", ""Что делать, если заказ завис?"", ""Что делать, если заказ завис?"", ""Что делать, если заказ завис?""]","[""Шаг 1. Проверьте нормальные сроки"", ""Шаг 2. Проверьте трек-номер"", ""Шаг 3. Обратитесь в поддержку"", ""Шаг 4. Дождитесь ответа""]","Статус заказа и отслеживание > Что делать, если заказ завис? > Шаг 1. Проверьте нормальные сроки","Статус заказа и отслеживание > Что делать, если заказ завис? > Шаг 4. Дождитесь ответа","# Статус заказа и отслеживание ## Covered sections - Что делать, если заказ завис? ## Covered subsections - Шаг 1. Проверьте нормальные сроки - Шаг 2. Проверьте трек-номер - Шаг 3. Обратитесь в поддержку - Шаг 4. Дождитесь ответа Убедитесь, что прошло достаточно времени: - «Новый» → подтверждение: до 24 часов - «В сборке» → отправка: до 2 рабочих дней - «Передан в доставку» → трек-номер: до 48 часов - «В пути» → доставка: зависит от региона и способа доставки Если заказ в статусе «В пути», проверьте актуальную информацию по трек-номеру на сайте транспортной компании. Иногда статус в нашей системе обновляется с задержкой. Если сроки превышены: - Напишите в чат на сайте - Отправьте email на support@example-shop.ru - Позвоните: 8-800-123-45-67 При обращении укажите: - Номер заказа - Дату оформления - Текущий статус, который вы видите - Что именно вас беспокоит Служба поддержки ответит в течение 1–2 рабочих дней. В случае проблемы с доставкой мы свяжемся с транспортной компанией и сообщим вам результат. ---",278,6
stg5_v2_chunk_00008,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Что делать, если заказ завис?"", ""Что делать, если заказ завис?"", ""Можно ли ускорить обработку заказа?"", ""Можно ли ускорить обработку заказа?""]","[""Шаг 3. Обратитесь в поддержку"", ""Шаг 4. Дождитесь ответа"", ""Что можно сделать:""]","Статус заказа и отслеживание > Что делать, если заказ завис? > Шаг 3. Обратитесь в поддержку",Статус заказа и отслеживание > Можно ли ускорить обработку заказа? > Что можно сделать:,"# Статус заказа и отслеживание ## Covered sections - Что делать, если заказ завис? - Можно ли ускорить обработку заказа? ## Covered subsections - Шаг 3. Обратитесь в поддержку - Шаг 4. Дождитесь ответа - Что можно сделать: Если сроки превышены: - Напишите в чат на сайте - Отправьте email на support@example-shop.ru - Позвоните: 8-800-123-45-67 При обращении укажите: - Номер заказа - Дату оформления - Текущий статус, который вы видите - Что именно вас беспокоит Служба поддержки ответит в течение 1–2 рабочих дней. В случае проблемы с доставкой мы свяжемся с транспортной компанией и сообщим вам результат. --- К сожалению, стандартные сроки обработки заказа нельзя сократить, так как они зависят от: - наличия товара на складе - очерёдности обработки заказов - работы транспортной компании - **Оплатить заказ онлайн** — заказы с предоплатой обрабатываются быстрее, чем заказы с оплатой при получении - **Выбрать экспресс-доставку** (только для Москвы) — доставка в день заказа при оформлении до 12:00 - **Оформить заказ в рабочее время** — заказы, оформленные в рабочие часы (10:00–19:00 Мск), подтверждаются быстрее",285,7
stg5_v2_chunk_00009,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""Можно ли ускорить обработку заказа?"", ""Можно ли ускорить обработку заказа?"", ""FAQ"", ""FAQ"", ""FAQ""]","[""Что можно сделать:"", ""Что нельзя ускорить:"", ""Где мой заказ?"", ""Мой заказ отправили?"", ""Когда придёт мой заказ?""]",Статус заказа и отслеживание > Можно ли ускорить обработку заказа? > Что можно сделать:,Статус заказа и отслеживание > FAQ > Когда придёт мой заказ?,"# Статус заказа и отслеживание ## Covered sections - Можно ли ускорить обработку заказа? - FAQ ## Covered subsections - Что можно сделать: - Что нельзя ускорить: - Где мой заказ? - Мой заказ отправили? - Когда придёт мой заказ? - **Оплатить заказ онлайн** — заказы с предоплатой обрабатываются быстрее, чем заказы с оплатой при получении - **Выбрать экспресс-доставку** (только для Москвы) — доставка в день заказа при оформлении до 12:00 - **Оформить заказ в рабочее время** — заказы, оформленные в рабочие часы (10:00–19:00 Мск), подтверждаются быстрее - Сборку на складе (зависит от загрузки) - Транзит транспортной компании (зависит от маршрута) - Таможенное оформление (для международных доставок) --- Проверьте статус заказа в личном кабинете в разделе «Мои заказы». Если заказ уже отправлен, используйте трек-номер для отслеживания на сайте транспортной компании. Если статус заказа «Передан в доставку» или «В пути», значит заказ уже отправлен. Трек-номер появится в личном кабинете в течение 24–48 часов после отправки. Срок доставки зависит от выбранного способа и региона. Ориентировочную дату доставки можно посмотреть в карточке заказа в личном кабинете.",308,8
stg5_v2_chunk_00010,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,"[""FAQ"", ""FAQ"", ""FAQ"", ""FAQ"", ""FAQ"", ""FAQ""]","[""Мой заказ отправили?"", ""Когда придёт мой заказ?"", ""Почему заказ отменился?"", ""Могу ли я узнать статус заказа без личного кабинета?"", ""Можно ли отследить заказ по номеру телефона?"", ""Что делать, если трек-номер не работает?""]",Статус заказа и отслеживание > FAQ > Мой заказ отправили?,"Статус заказа и отслеживание > FAQ > Что делать, если трек-номер не работает?","# Статус заказа и отслеживание ## Covered sections - FAQ ## Covered subsections - Мой заказ отправили? - Когда придёт мой заказ? - Почему заказ отменился? - Могу ли я узнать статус заказа без личного кабинета? - Можно ли отследить заказ по номеру телефона? - Что делать, если трек-номер не работает? Если статус заказа «Передан в доставку» или «В пути», значит заказ уже отправлен. Трек-номер появится в личном кабинете в течение 24–48 часов после отправки. Срок доставки зависит от выбранного способа и региона. Ориентировочную дату доставки можно посмотреть в карточке заказа в личном кабинете. Заказ может быть отменён по нескольким причинам: товар закончился на складе, не удалось подтвердить оплату, или истёк срок ожидания подтверждения. В случае отмены деньги возвращаются автоматически в течение 10 рабочих дней. Да, вы можете обратиться в поддержку (чат, email, телефон) и назвать номер заказа или email, указанный при оформлении. Нет, отслеживание по номеру телефона недоступно. Используйте трек-номер или номер заказа. Если трек-номер не находится на сайте транспортной компании, подождите 24 часа — данные могут обновляться с задержкой. Если через 24 часа трек-номер по-прежнему не работает, обратитесь в поддержку.",312,9
