id,text,label,expected_route,expected_doc_id,notes
1,Где мой заказ?,order_status,order_status,,нормальный
2,Какой статус моего заказа?,order_status,order_status,,нормальный
3,Хочу узнать где сейчас мой заказ,order_status,order_status,,нормальный
4,Когда придёт мой заказ номер 45678?,order_status,order_status,,с номером
5,Можно узнать статус доставки заказа?,order_status,order_status,,нормальный
6,че с моим заказом?,order_status,order_status,,разговорный
7,заказ где блин,order_status,order_status,,разговорный
8,ну где заказ-то?,order_status,order_status,,разговорный
9,мой заказ вообще отправили?,order_status,order_status,,разговорный
10,алло где посылка,order_status,order_status,,разговорный
11,где мой зказ,order_status,order_status,,опечатка
12,стутус заказа,order_status,order_status,,опечатка
13,хочу знать стаутс заказа,order_status,order_status,,опечатка
14,заказ сттатус,order_status,order_status,,опечатка
15,мой закз где?,order_status,order_status,,опечатка
16,заказ?,order_status,order_status,,короткий
17,статус,order_status,order_status,,короткий
18,трекинг,order_status,order_status,,короткий
19,отследить,order_status,order_status,,короткий
20,номер заказа 99012,order_status,order_status,,пограничный
21,Как оформить доставку?,delivery,faq_handler,faq_delivery,нормальный
22,Сколько стоит доставка?,delivery,faq_handler,faq_delivery,нормальный
23,Какие сроки доставки?,delivery,faq_handler,faq_delivery,нормальный
24,Доставляете ли в мой город?,delivery,faq_handler,faq_delivery,нормальный
25,Есть ли самовывоз?,delivery,faq_handler,faq_delivery,нормальный
26,доставка скока стоит?,delivery,faq_handler,faq_delivery,разговорный
27,а доставка бесплатная?,delivery,faq_handler,faq_delivery,разговорный
28,чё по доставке?,delivery,faq_handler,faq_delivery,разговорный
29,курьером можно?,delivery,faq_handler,faq_delivery,разговорный
30,доставите завтра?,delivery,faq_handler,faq_delivery,разговорный
31,даставка сколько?,delivery,faq_handler,faq_delivery,опечатка
32,как оформть доставку,delivery,faq_handler,faq_delivery,опечатка
33,дастака в регионы,delivery,faq_handler,faq_delivery,опечатка
34,доствка есть?,delivery,faq_handler,faq_delivery,опечатка
35,самовызов можно?,delivery,faq_handler,faq_delivery,опечатка
36,доставка,delivery,faq_handler,faq_delivery,короткий
37,курьер,delivery,faq_handler,faq_delivery,короткий
38,сроки,delivery,faq_handler,,пограничный
39,СДЭК,delivery,faq_handler,faq_delivery,короткий
40,привезти,delivery,faq_handler,,пограничный
41,Как оплатить заказ?,payment_refund,faq_handler,faq_payment,нормальный
42,Какие способы оплаты?,payment_refund,faq_handler,faq_payment,нормальный
43,Можно ли оплатить картой?,payment_refund,faq_handler,faq_payment,нормальный
44,Как вернуть деньги за заказ?,payment_refund,faq_handler,faq_return,нормальный refund
45,Когда вернут деньги?,payment_refund,faq_handler,faq_return,нормальный refund
46,картой можно?,payment_refund,faq_handler,faq_payment,разговорный
47,а наличкой принимаете?,payment_refund,faq_handler,faq_payment,разговорный
48,деньги когда вернут?,payment_refund,faq_handler,faq_return,разговорный refund
49,оплатить при получении можно?,payment_refund,faq_handler,faq_payment,разговорный
50,чё по оплате?,payment_refund,faq_handler,faq_payment,разговорный
51,аплатить как?,payment_refund,faq_handler,faq_payment,опечатка
52,вирнут деньги?,payment_refund,faq_handler,faq_return,опечатка refund
53,оплата катрой,payment_refund,faq_handler,faq_payment,опечатка
54,возрат денег,payment_refund,faq_handler,faq_return,опечатка refund
55,как аплатить,payment_refund,faq_handler,faq_payment,опечатка
56,оплата,payment_refund,faq_handler,faq_payment,короткий
57,рассрочка,payment_refund,faq_handler,faq_payment,короткий
58,возврат денег,payment_refund,faq_handler,faq_return,короткий refund
59,СБП,payment_refund,faq_handler,faq_payment,короткий
60,рефанд,payment_refund,faq_handler,faq_return,пограничный refund
61,Как вернуть товар?,return_exchange,faq_handler,faq_return,нормальный
62,Какие условия возврата?,return_exchange,faq_handler,faq_return,нормальный
63,Можно ли обменять товар?,return_exchange,faq_handler,faq_return,нормальный
64,Сколько дней на возврат товара?,return_exchange,faq_handler,faq_return,нормальный
65,Нужен ли чек для возврата?,return_exchange,faq_handler,faq_return,нормальный
66,хочу вернуть товар,return_exchange,faq_handler,faq_return,разговорный
67,можно обменять?,return_exchange,faq_handler,faq_return,разговорный
68,не подошло хочу обратно,return_exchange,faq_handler,faq_return,разговорный
69,как сдать товар?,return_exchange,faq_handler,faq_return,разговорный
70,можно сдать обратно?,return_exchange,faq_handler,faq_return,разговорный
71,как вирнуть товар,return_exchange,faq_handler,faq_return,опечатка
72,возрат товара,return_exchange,faq_handler,faq_return,опечатка
73,обмен тавара,return_exchange,faq_handler,faq_return,опечатка
74,как здать товар,return_exchange,faq_handler,faq_return,опечатка
75,вирнуть можно?,return_exchange,faq_handler,faq_return,опечатка
76,возврат,return_exchange,faq_handler,faq_return,короткий
77,обмен,return_exchange,faq_handler,faq_return,короткий
78,сдать,return_exchange,faq_handler,faq_return,короткий
79,не подошёл размер,return_exchange,faq_handler,faq_return,пограничный
80,брак,return_exchange,faq_handler,faq_return,пограничный
