pair_id,target_pair,sample_id_1,sample_id_2,text_1,text_2,label_1,label_2,cosine_similarity,decision,comment
rev_016,payment_refund__return_exchange,stg1_002247,stg1_001222,"Я хочу узнать больше о вашей чертовой гарантии возврата денег, можете ли вы найти какую-нибудь информацию?","хочу узнать больше о твоем чертовом процессе возврата, могу найти некоторую информацию",payment_refund,return_exchange,0.9587510824203492,hard_negative,
rev_021,payment_refund__return_exchange,stg1_001245,stg1_002325,"мне нужна информация о твоем чертовом процессе возврата, могу я ее получить","хочу узнать о твоем чертовом процессе возврата денег, дай мне немного информации",return_exchange,payment_refund,0.9566429853439332,hard_negative,
rev_023,payment_refund__return_exchange,stg1_002239,stg1_001438,Мне нужна информация о вашей политике возврата средств. Можете ли вы мне помочь?,мне нужна информация о вашей политике возврата,payment_refund,return_exchange,0.956445336341858,hard_negative,
rev_026,general_info__product_info,stg1_001103,stg1_000218,"Я бы хотел найти чертовы магазины, как мне это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9675763845443726,hard_negative,
rev_027,general_info__product_info,stg1_001133,stg1_000157,"мне нужно найти чертов магазин рядом со мной, помоги мне","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.9654960036277772,hard_negative,
rev_028,general_info__product_info,stg1_001135,stg1_000157,"мне нужно поискать чертовы магазины рядом со мной, мне нужна помощь","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.964128851890564,hard_negative,
rev_029,general_info__product_info,stg1_000242,stg1_001088,"Я хотел бы узнать о наличии товаров в магазине, не могли бы вы мне помочь?","Я хотел бы найти ближайший магазин, не могли бы вы мне помочь?",product_info,general_info,0.9608681201934814,hard_negative,
rev_030,general_info__product_info,stg1_001137,stg1_000157,"мне нужна помощь, чтобы найти чертовы магазины рядом со мной","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.9602161645889282,hard_negative,
rev_031,general_info__product_info,stg1_000926,stg1_000218,"Я хотел бы найти чертовы магазины в моем районе, как это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9596277475357056,hard_negative,
rev_032,general_info__product_info,stg1_000940,stg1_000218,"Мне нужно найти чертов магазин, как мне это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9584357738494872,hard_negative,
rev_033,general_info__product_info,stg1_000939,stg1_000001,"хочу найти магазины в моем районе, могу ли я получить помощь","хочу подтвердить наличие товара в магазине, могу ли я получить помощь",general_info,product_info,0.9584168791770936,hard_negative,
rev_034,general_info__product_info,stg1_001092,stg1_000218,"Мне нужно проверить часы работы твоего чертового магазина, как я могу это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.957221508026123,hard_negative,
rev_035,general_info__product_info,stg1_001118,stg1_000214,"нужно найти ближайший ко мне магазин, могу ли я получить помощь","мне нужно посмотреть наличие товара, могу ли я получить помощь",general_info,product_info,0.9570022821426392,hard_negative,
rev_036,general_info__product_info,stg1_001067,stg1_000010,"мне нужно найти ближайший магазин, могу ли я получить помощь?",Мне нужно подтвердить наличие товаров в магазине. Могу ли я получить помощь?,general_info,product_info,0.9558049440383912,hard_negative,
rev_037,general_info__product_info,stg1_001168,stg1_000262,"Я хотел бы знать о чертовых магазинах поблизости, я дам мне некоторую информацию","Я хотел бы узнать о чертовом продукте, найду некоторую информацию",general_info,product_info,0.955133020877838,hard_negative,
rev_038,general_info__product_info,stg1_001065,stg1_000030,"Я хотел бы найти магазины поблизости, мне нужна помощь","Я хотел бы подтвердить наличие товаров в магазине, мне нужна помощь",general_info,product_info,0.9548752903938292,hard_negative,
