text_original,text_normalized,raw_label,label,source,is_synthetic,is_augmented,is_hard_negative,label_before_review,parent_sample_id,hard_negative_pair,hard_negative_pair_id,hard_negative_pair_similarity,sample_id
"Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?","я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000218,general_info__product_info,rev_026,0.9675763845443726,hneg_rev_026_2_stg1_000218
"мне нужно найти чертов магазин рядом со мной, помоги мне","мне нужно найти чертов магазин рядом со мной, помоги мне",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001133,general_info__product_info,rev_027,0.9654960036277772,hneg_rev_027_1_stg1_001133
"мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000157,general_info__product_info,rev_027,0.9654960036277772,hneg_rev_027_2_stg1_000157
"мне нужно поискать чертовы магазины рядом со мной, мне нужна помощь","мне нужно поискать чертовы магазины рядом со мной, мне нужна помощь",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001135,general_info__product_info,rev_028,0.964128851890564,hneg_rev_028_1_stg1_001135
"Я хотел бы найти ближайший магазин, не могли бы вы мне помочь?","я хотел бы найти ближайший магазин, не могли бы вы мне помочь?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001088,general_info__product_info,rev_029,0.9608681201934814,hneg_rev_029_2_stg1_001088
"Я хотел бы найти чертовы магазины в моем районе, как это сделать?","я хотел бы найти чертовы магазины в моем районе, как это сделать?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_000926,general_info__product_info,rev_031,0.9596277475357056,hneg_rev_031_1_stg1_000926
"Я хочу узнать больше о вашей чертовой гарантии возврата денег, можете ли вы найти какую-нибудь информацию?","я хочу узнать больше о вашей чертовой гарантии возврата денег, можете ли вы найти какую-нибудь информацию?",payment_refund,payment_refund,bitext|hard_negative_manual,False,False,True,payment_refund,stg1_002247,payment_refund__return_exchange,rev_016,0.9587510824203492,hneg_rev_016_1_stg1_002247
"Мне нужно найти чертов магазин, как мне это сделать?","мне нужно найти чертов магазин, как мне это сделать?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_000940,general_info__product_info,rev_032,0.9584357738494872,hneg_rev_032_1_stg1_000940
"хочу найти магазины в моем районе, могу ли я получить помощь","хочу найти магазины в моем районе, могу ли я получить помощь",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_000939,general_info__product_info,rev_033,0.9584168791770936,hneg_rev_033_1_stg1_000939
"Мне нужно проверить часы работы твоего чертового магазина, как я могу это сделать?","мне нужно проверить часы работы твоего чертового магазина, как я могу это сделать?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001092,general_info__product_info,rev_034,0.957221508026123,hneg_rev_034_1_stg1_001092
"мне нужно посмотреть наличие товара, могу ли я получить помощь","мне нужно посмотреть наличие товара, могу ли я получить помощь",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000214,general_info__product_info,rev_035,0.9570022821426392,hneg_rev_035_2_stg1_000214
"мне нужна информация о твоем чертовом процессе возврата, могу я ее получить","мне нужна информация о твоем чертовом процессе возврата, могу я ее получить",return_exchange,return_exchange,bitext|hard_negative_manual,False,False,True,return_exchange,stg1_001245,payment_refund__return_exchange,rev_021,0.9566429853439332,hneg_rev_021_1_stg1_001245
Мне нужна информация о вашей политике возврата средств. Можете ли вы мне помочь?,мне нужна информация о вашей политике возврата средств. можете ли вы мне помочь?,payment_refund,payment_refund,bitext|hard_negative_manual,False,False,True,payment_refund,stg1_002239,payment_refund__return_exchange,rev_023,0.956445336341858,hneg_rev_023_1_stg1_002239
