doc_id,chunk_id,title,text
faq_delivery,faq_delivery_chunk_0,intro,# Доставка
faq_delivery,faq_delivery_chunk_1,Можно ли получить заказ курьером?,"## Можно ли получить заказ курьером? Да, заказ можно получить курьерской доставкой СДЭК."
faq_delivery,faq_delivery_chunk_2,Москва и Санкт-Петербург,### Москва и Санкт-Петербург - Срок доставки: 1–2 рабочих дня - Стоимость: 300₽ - Бесплатно при заказе от 5000₽
faq_delivery,faq_delivery_chunk_3,Регионы России,### Регионы России - Срок доставки: 3–7 рабочих дней - Стоимость: от 400₽ - Точная стоимость зависит от региона и веса - Бесплатно при заказе от 7000₽
faq_delivery,faq_delivery_chunk_4,Интервалы доставки,### Интервалы доставки - 10:00–14:00 - 14:00–18:00 - 18:00–22:00 ---
faq_delivery,faq_delivery_chunk_5,Сколько дней идёт заказ?,## Сколько дней идёт заказ? Срок доставки зависит от выбранного способа доставки и региона. - Курьерская доставка по Москве и Санкт-Петербургу: 1–2 рабочих дня - Курьерская доставка по регионам России: 3–7 рабочих дней - Почта России: 7–14 рабочих дней - Самовывоз из пункта выдачи СДЭК: 2–5 рабочих дней - Экспресс-доставка по Москве: в день заказа ---
faq_delivery,faq_delivery_chunk_6,Какие есть способы доставки?,## Какие есть способы доставки? Доступны следующие способы доставки: 1. Курьерская доставка СДЭК 2. Почта России 3. Самовывоз из пунктов выдачи СДЭК 4. Экспресс-доставка по Москве ---
faq_delivery,faq_delivery_chunk_7,Можно ли оформить самовывоз?,"## Можно ли оформить самовывоз? Да, можно оформить самовывоз из пунктов выдачи СДЭК. - Более 2000 пунктов по всей России - Бесплатно при любой сумме заказа - Срок доставки в пункт: 2–5 рабочих дней - Хранение в пункте: до 7 дней бесплатно ---"
faq_delivery,faq_delivery_chunk_8,Есть ли экспресс-доставка?,"## Есть ли экспресс-доставка? Да, для Москвы доступна экспресс-доставка. - Доставка в день заказа - Стоимость: 800₽ - Заказ должен быть оформлен и оплачен до 12:00 - Доставка осуществляется с 18:00 до 22:00 ---"
faq_delivery,faq_delivery_chunk_9,Сколько стоит доставка?,## Сколько стоит доставка? Стоимость доставки зависит от способа и региона.
faq_delivery,faq_delivery_chunk_10,Курьерская доставка,### Курьерская доставка - Москва и Санкт-Петербург: 300₽ - Регионы России: от 400₽
faq_delivery,faq_delivery_chunk_11,Почта России,### Почта России - от 250₽
faq_delivery,faq_delivery_chunk_12,Самовывоз,### Самовывоз - бесплатно
