context, response
question about cancelling order 2B4FZM0C,"intent: cancel_order, variable name: order_number, variable value: 2B4FZM0C"
i have a question about cancelling oorder 23W8R9EC,"intent: cancel_order, variable name: order_number, variable value: 23W8R9EC"
i need help cancelling puchase B7UX7Q76,"intent: cancel_order, variable name: order_number, variable value: B7UX7Q76"
I need to cancel purchase GTY5LI52,"intent: cancel_order, variable name: order_number, variable value: GTY5LI52"
"I cannot afford this order, cancel purchase 2LJBPG7W","intent: cancel_order, variable name: order_number, variable value: 2LJBPG7W"
can you help me cancel order BVQG826J?,"intent: cancel_order, variable name: order_number, variable value: BVQG826J"
"I can no longer afford order EWXLMWVE, cancel it","intent: cancel_order, variable name: order_number, variable value: EWXLMWVE"
I am trying to cancel purchase X3BVIJ54,"intent: cancel_order, variable name: order_number, variable value: X3BVIJ54"
I have got to cancel purchase QI6K4H5X,"intent: cancel_order, variable name: order_number, variable value: QI6K4H5X"
i need help canceling purchase Z4CO8677,"intent: cancel_order, variable name: order_number, variable value: Z4CO8677"
i dont know what to do to cancel order 2OP8M79P,"intent: cancel_order, variable name: order_number, variable value: 2OP8M79P"
I have a problem with cancelling purchase 57FXS27E,"intent: cancel_order, variable name: order_number, variable value: 57FXS27E"
problem with canceling purchase ZKONAKYT,"intent: cancel_order, variable name: order_number, variable value: ZKONAKYT"
can you help me canceling order 5TZUT6M5?,"intent: cancel_order, variable name: order_number, variable value: 5TZUT6M5"
help  me canceling purchase IXN9JZWR,"intent: cancel_order, variable name: order_number, variable value: IXN9JZWR"
can you help me cancel purchase 70DYSA9G?,"intent: cancel_order, variable name: order_number, variable value: 70DYSA9G"
what do I have to do to cancel purchase GSTWXYBJ?,"intent: cancel_order, variable name: order_number, variable value: GSTWXYBJ"
"I bought the same item twice, cancel order BFJACZXI","intent: cancel_order, variable name: order_number, variable value: BFJACZXI"
need help with canceling order LP2XD0EF,"intent: cancel_order, variable name: order_number, variable value: LP2XD0EF"
i want assistance canceling order WTW0NZO8,"intent: cancel_order, variable name: order_number, variable value: WTW0NZO8"
I'm trying to cancel order TAG53TZ7,"intent: cancel_order, variable name: order_number, variable value: TAG53TZ7"
i have problems with canceling order CQUWVKAA,"intent: cancel_order, variable name: order_number, variable value: CQUWVKAA"
assistance with cancelling pucrhase 53YG5KPS,"intent: cancel_order, variable name: order_number, variable value: 53YG5KPS"
need help with canceling purchase FGKK1P85,"intent: cancel_order, variable name: order_number, variable value: FGKK1P85"
help cnceling order NCIFL5MK,"intent: cancel_order, variable name: order_number, variable value: NCIFL5MK"
i want assistance cancelling order M0QKN8QQ,"intent: cancel_order, variable name: order_number, variable value: M0QKN8QQ"
need assistance cancelling order O3VNQD9X,"intent: cancel_order, variable name: order_number, variable value: O3VNQD9X"
problem with cancelling order 96UPU0T0,"intent: cancel_order, variable name: order_number, variable value: 96UPU0T0"
assistnace cancelling order QK1MO5JI,"intent: cancel_order, variable name: order_number, variable value: QK1MO5JI"
have a problem with canceling order G0AI43B9,"intent: cancel_order, variable name: order_number, variable value: G0AI43B9"
i need help with canceling purchase EVOSC73X,"intent: cancel_order, variable name: order_number, variable value: EVOSC73X"
assistance with cancelling pucrhase 0T78P7LD,"intent: cancel_order, variable name: order_number, variable value: 0T78P7LD"
want assistance to cancel order  RBLEEQUR,"intent: cancel_order, variable name: order_number, variable value: RBLEEQUR"
i do not know how i can cancel purchase TYQDT3UE,"intent: cancel_order, variable name: order_number, variable value: TYQDT3UE"
need assistance to cancel order OWZDC14H,"intent: cancel_order, variable name: order_number, variable value: OWZDC14H"
can you help me cancel purchase 3MQYKVKW?,"intent: cancel_order, variable name: order_number, variable value: 3MQYKVKW"
I can no longer afford purchase 8VGXGFHG,"intent: cancel_order, variable name: order_number, variable value: 8VGXGFHG"
i need assistance canceling purchase E61LWLZ0,"intent: cancel_order, variable name: order_number, variable value: E61LWLZ0"
I would like to cancel purchase NGBBT4PE,"intent: cancel_order, variable name: order_number, variable value: NGBBT4PE"
i do not want these article i try to cancel order OHW3MQ6K,"intent: cancel_order, variable name: order_number, variable value: OHW3MQ6K"
