sample_id,text_original,text_normalized,raw_label,label,source,is_synthetic,is_augmented,is_hard_negative,other_subtype_rule
stg1_001766,хочу отправить обзор продукта,хочу отправить обзор продукта,other,other,bitext,False,False,False,unclassified
stg1_001767,"Я хотел бы поговорить с агентством, могу ли я получить помощь?","я хотел бы поговорить с агентством, могу ли я получить помощь?",other,other,bitext,False,False,False,operator_contact
stg1_001768,"Я хочу предложить чертовы предложения по улучшению продукта, где я могу это сделать?","я хочу предложить чертовы предложения по улучшению продукта, где я могу это сделать?",other,other,bitext,False,False,False,feedback_complaint
stg1_001769,"нужно отправить предложение по улучшению продукта, как я могу это сделать","нужно отправить предложение по улучшению продукта, как я могу это сделать",other,other,bitext,False,False,False,feedback_complaint
stg1_001770,"Я хотел бы отправить чертов комментарий о твоей компании, ох, я это сделаю","я хотел бы отправить чертов комментарий о твоей компании, ох, я это сделаю",other,other,bitext,False,False,False,unclassified
stg1_001771,"мне нужно отправить отзыв о продукте, помогите мне","мне нужно отправить отзыв о продукте, помогите мне",other,other,bitext,False,False,False,feedback_complaint
stg1_001772,"У меня чертов отзыв, не могли бы вы помочь мне его отправить?","у меня чертов отзыв, не могли бы вы помочь мне его отправить?",other,other,bitext,False,False,False,feedback_complaint
stg1_001773,"мне нужно отправить комментарии к продукту, не могли бы мне помочь","мне нужно отправить комментарии к продукту, не могли бы мне помочь",other,other,bitext,False,False,False,unclassified
stg1_001774,"Мне нужно отправить отзыв о продукте, мне нужна помощь","мне нужно отправить отзыв о продукте, мне нужна помощь",other,other,bitext,False,False,False,feedback_complaint
stg1_001775,"хочу отправить жалобу, мне нужна помощь","хочу отправить жалобу, мне нужна помощь",other,other,bitext,False,False,False,feedback_complaint
stg1_001776,"Мне нужно отправить чертову жалобу на ваш бренд, где это сделать?","мне нужно отправить чертову жалобу на ваш бренд, где это сделать?",other,other,bitext,False,False,False,feedback_complaint
stg1_001777,"Я хотел бы оставить чертовы комментарии о продуктах, которые могут мне помочь.","я хотел бы оставить чертовы комментарии о продуктах, которые могут мне помочь.",other,other,bitext,False,False,False,unclassified
stg1_001778,"Я вас не понимаю, мне нужна помощь, чтобы поговорить с оператором","я вас не понимаю, мне нужна помощь, чтобы поговорить с оператором",other,other,bitext,False,False,False,operator_contact
