text,raw_label,label,source,is_synthetic
"хочу подтвердить наличие товара в магазине, могу ли я получить помощь",product_info,product_info,bitext,False
"Мне нужно проверить наличие этого чертового предмета, могу ли я получить помощь?",product_info,product_info,bitext,False
"Я хочу удалить товар из корзины, где мне это сделать?",product_info,product_info,bitext,False
"продукт, который я купил, работает правильно, могу ли я сообщить о проблеме с продуктом",product_info,product_info,bitext,False
Я хотел бы сообщить о дефектах заказанного товара. Можете ли вы мне помочь?,product_info,product_info,bitext,False
"мне нужно проверить наличие товара в магазине, не могли бы вы мне помочь?",product_info,product_info,bitext,False
Я хотел бы сообщить об ошибке в заказанном мной товаре. Могу ли я это сделать?,product_info,product_info,bitext,False
"Мне нравится информация о чертовом продукте, как я могу ее получить?",product_info,product_info,bitext,False
заказанный мной продукт не работает должным образом. Можете ли вы мне помочь сообщить о проблеме с продуктом?,product_info,product_info,bitext,False
Мне нужно подтвердить наличие товаров в магазине. Могу ли я получить помощь?,product_info,product_info,bitext,False
"продукт, который я заказал, работает неправильно, могу ли я сообщить о проблеме с продуктом",product_info,product_info,bitext,False
"хочу знать о продуктах, могу найти некоторую информацию",product_info,product_info,bitext,False
не могли бы вы помочь мне проверить наличие этого чертового товара онлайн?,product_info,product_info,bitext,False
"хочу сообщить об ошибках в купленном мной проекте, где я могу это сделать",product_info,product_info,bitext,False
"Мне нужно удалить чертовы товары из корзины, могу ли я получить помощь?",product_info,product_info,bitext,False
Я хотел бы увидеть доступность этого чертового продукта в Интернете.,product_info,product_info,bitext,False
"Я хочу подтвердить наличие товара в магазине, мне нужна помощь",product_info,product_info,bitext,False
"продукт, который я получил, не работает должным образом, как я могу сообщить об ошибке продукта?",product_info,product_info,bitext,False
Мне нужна помощь в проверке наличия товара,product_info,product_info,bitext,False
"Ищу информацию о чертовых продуктах, где ее взять?",product_info,product_info,bitext,False
"Я хочу удалить товар из корзины, как мне это сделать?",product_info,product_info,bitext,False
"Мне нужно подтвердить наличие товара онлайн, где это сделать?",product_info,product_info,bitext,False
"Мне нужна информация о чертовом продюсере, как мне ее найти?",product_info,product_info,bitext,False
"мне нужно посмотреть наличие какого-то гребаного товара в Интернете, помогите мне",product_info,product_info,bitext,False
как я мог добавить чертов товар в корзину,product_info,product_info,bitext,False
"Мне нужно проверить наличие товаров в магазине, могу ли я получить помощь?",product_info,product_info,bitext,False
"хочу сообщить о проблемах в купленном мной продукте, нужно ли мне это сделать",product_info,product_info,bitext,False
