text,raw_label,label,source,is_synthetic
"помогите мне узнать, в какое время доступна служба поддержки клиентов",general_info,general_info,ikshana,False
"Мне нужно проверить наличие какого-то товара в магазине, это может мне помочь.",product_info,product_info,bitext,False
"Я ищу информацию о распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,bitext,False
"У меня ошибка в профиле, помогите мне его изменить.",account,account,bitext,False
куда я могу подать жалобу клиента на вашу компанию,other,other,ikshana,False
"Я ищу информацию о зимних распродажах, может мне поможет",promo_loyalty,promo_loyalty,bitext,False
"у меня есть чертов отзыв о вашей компании, помогите мне отправить его",other,other,bitext,False
"мне нужно посмотреть варианты доставки, как мне это сделать",delivery,delivery,ikshana,False
"Мне нужна учетная запись, мне нужна помощь в ее создании",account,account,bitext,False
"кто-то взломал мой профиль, мне нужна помощь, чтобы восстановить пароль",account,account,bitext,False
"приложение не работает на моем компьютере, мне нужна помощь, чтобы повторить ошибку",technical_issue,technical_issue,bitext,False
"Я хотел бы поговорить со службой поддержки, где это сделать",general_info,general_info,bitext,False
"Мне нужно открыть учетную запись пользователя, не могли бы вы мне помочь?",account,account,bitext,False
удалить товар из заказа,order_status,order_status,ikshana,False
Я хочу узнать больше о распродаже Salex,promo_loyalty,promo_loyalty,bitext,False
Что такое Johnzena,general_info,general_info,runlu,False
"хочу сделать чертов платеж, как это сделать",payment_refund,payment_refund,bitext,False
"как проверить, в какое время я могу позвонить в службу поддержки?",general_info,general_info,ikshana,False
Я хотел бы проверить историю покупок,account,account,bitext,False
"Мне нужно сообщить о проблеме с приложением, где это сделать?",technical_issue,technical_issue,bitext,False
"Могу ли я посмотреть, сколько времени займет доставка товара?",delivery,delivery,ikshana,False
"Мне нужно найти магазин поблизости, как мне это сделать?",general_info,general_info,bitext,False
"мне не нужен мой чертов профиль, ох, можно я его закрою",account,account,bitext,False
"я не знаю, что мне нужно сделать, чтобы поговорить с живым агентом",other,other,ikshana,False
"хочу воспользоваться твоим чертовым приложением, ты мне поможешь?",technical_issue,technical_issue,bitext,False
Вы можете сказать мне обменный курс канадской валюты,payment_refund,payment_refund,runlu,False
нужна помощь с просьбой вернуть деньги,payment_refund,payment_refund,ikshana,False
"Мне нужно увидеть текущий статус заказа M9553WYS, помогите мне.",order_status,order_status,ikshana,False
"Мне бы хотелось получить информацию о чертовых весенних распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,bitext,False
"Я не могу зарегистрироваться, могу ли я сообщить о проблемах с регистрацией?",account,account,ikshana,False
куда вернуть чертов товар онлайн,return_exchange,return_exchange,bitext,False
"Я хотел бы отменить заказ, вы можете мне помочь?",order_status,order_status,bitext,False
Обмен товара на аналогичный,return_exchange,return_exchange,synthetic_dataset,True
"мне нужно посмотреть часы твоих покупок, мне нужна помощь",general_info,general_info,bitext,False
дайте мне информацию о чертовых распродажах,promo_loyalty,promo_loyalty,bitext,False
"Мне нужно вернуть товар, купленный онлайн, в магазин. Можете ли вы мне помочь?",return_exchange,return_exchange,bitext,False
"хочу открыть счет, где это сделать",account,account,bitext,False
"Я не знаю, как я могу отправить отзыв о вашей компании.",product_info,product_info,ikshana,False
проблема с вводом вторичного адреса доставки,delivery,delivery,ikshana,False
"Я хотел бы проверить наличие этого чертового предмета, вы можете мне помочь?",product_info,product_info,bitext,False
"Я не знаю, как говорить с агентом-человеком",other,other,ikshana,False
"Я бы хотел удалить чертов товар из корзины, мне нужна помощь",product_info,product_info,bitext,False
"Я хотел бы узнать больше о следующих распродажах, могу дать мне некоторую информацию",promo_loyalty,promo_loyalty,bitext,False
"Мне бы хотелось найти чертовы магазины, могу ли я получить помощь?",general_info,general_info,bitext,False
"что мне нужно сделать, чтобы узнать, когда придет моя статья?",delivery,delivery,ikshana,False
