sample_id,text_original,text_normalized,raw_label,label,source,is_synthetic,is_augmented,is_hard_negative,label_before_review,parent_sample_id,hard_negative_pair,hard_negative_pair_id,hard_negative_pair_similarity,augmentation_method
aug_account_0001_stg1_000861,хочу помочь получить пароль моего prl-фйала,хочу помочь получить пароль моего prl-фйала,account,account,ikshana|aug_typo_swap_adjacent,False,True,False,account,stg1_000861,,,,typo_swap_adjacent
aug_account_0002_stg1_000863,моггу ли я перейти на чертов стандартный аккаунт?,моггу ли я перейти на чертов стандартный аккаунт?,account,account,ikshana|aug_typo_duplicate_char,False,True,False,account,stg1_000863,,,,typo_duplicate_char
aug_account_0003_stg1_000751,"мне нужен аккаунт, помогите мне открыть его?","мне нужен аккаунт, помогите мне открыть его?",account,account,bitext|aug_punctuation_variant,False,True,False,account,stg1_000751,,,,punctuation_variant
aug_account_0004_stg1_000676,открытие ноого аккаунта Titanium,открытие ноого аккаунта titanium,account,account,ikshana|aug_typo_delete_char,False,True,False,account,stg1_000676,,,,typo_delete_char
aug_account_0005_stg1_000618,"мои личные данные неверны, мне нужна помощь в их имзенении","мои личные данные неверны, мне нужна помощь в их имзенении",account,account,bitext|aug_typo_swap_adjacent,False,True,False,account,stg1_000618,,,,typo_swap_adjacent
aug_account_0006_stg1_000821,"что мне нужно сделать, чтобы создать учетную запись Titanium для моего оттца","что мне нужно сделать, чтобы создать учетную запись titanium для моего оттца",account,account,ikshana|aug_typo_duplicate_char,False,True,False,account,stg1_000821,,,,typo_duplicate_char
aug_account_0007_stg1_000777,мне нужна помощь чтобы сбросить ключ моей учетной записи,мне нужна помощь чтобы сбросить ключ моей учетной записи,account,account,ikshana|aug_punctuation_variant,False,True,False,account,stg1_000777,,,,punctuation_variant
aug_account_0008_stg1_000692,"что мне нужно сделать, чтобы ипользовать учетную запись Platinum","что мне нужно сделать, чтобы ипользовать учетную запись platinum",account,account,ikshana|aug_typo_delete_char,False,True,False,account,stg1_000692,,,,typo_delete_char
aug_account_0009_stg1_000662,"мой проофиль взломали, мне нужна помощь в сбросе пароля","мой проофиль взломали, мне нужна помощь в сбросе пароля",account,account,bitext|aug_typo_duplicate_char,False,True,False,account,stg1_000662,,,,typo_duplicate_char
aug_account_0010_stg1_000878,"мне не нужно переходить на стандартную учетную запись, как мне это сделать?","мне не нужно переходить на стандартную учетную запись, как мне это сделать?",account,account,ikshana|aug_punctuation_variant,False,True,False,account,stg1_000878,,,,punctuation_variant
aug_account_0011_stg1_000609,"Мне не нужен мой чертов аккаунт, помогите мне его удалиь.","мне не нужен мой чертов аккаунт, помогите мне его удалиь.",account,account,bitext|aug_typo_delete_char,False,True,False,account,stg1_000609,,,,typo_delete_char
aug_account_0012_stg1_000702,поомщь в создании еще одной гребаной фримиум-аккаунта,поомщь в создании еще одной гребаной фримиум-аккаунта,account,account,ikshana|aug_typo_swap_adjacent,False,True,False,account,stg1_000702,,,,typo_swap_adjacent
aug_account_0013_stg1_000723,стандартная учетная запись cllsoe,стандартная учетная запись cllsoe,account,account,ikshana|aug_typo_duplicate_char,False,True,False,account,stg1_000723,,,,typo_duplicate_char
aug_account_0014_stg1_000746,"нужно удалить свой аккаунт, где это сделать?","нужно удалить свой аккаунт, где это сделать?",account,account,bitext|aug_phrase_compression,False,True,False,account,stg1_000746,,,,phrase_compression
