chunk_id,category,source_group,source_file,source_path,header_h1,header_h2,header_h3,header_path,text,token_count
stg5_chunk_00001,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли получить заказ курьером?,,Доставка > Можно ли получить заказ курьером?,"# Доставка
## Можно ли получить заказ курьером?

Да, заказ можно получить курьерской доставкой СДЭК.",27
stg5_chunk_00002,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли получить заказ курьером?,Москва и Санкт-Петербург,Доставка > Можно ли получить заказ курьером? > Москва и Санкт-Петербург,"# Доставка
## Можно ли получить заказ курьером?
### Москва и Санкт-Петербург

- Срок доставки: 1–2 рабочих дня - Стоимость: 300₽ - Бесплатно при заказе от 5000₽",41
stg5_chunk_00003,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли получить заказ курьером?,Регионы России,Доставка > Можно ли получить заказ курьером? > Регионы России,"# Доставка
## Можно ли получить заказ курьером?
### Регионы России

- Срок доставки: 3–7 рабочих дней - Стоимость: от 400₽ - Точная стоимость зависит от региона и веса - Бесплатно при заказе от 7000₽",51
stg5_chunk_00004,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли получить заказ курьером?,Интервалы доставки,Доставка > Можно ли получить заказ курьером? > Интервалы доставки,"# Доставка
## Можно ли получить заказ курьером?
### Интервалы доставки

- 10:00–14:00 - 14:00–18:00 - 18:00–22:00

---",32
stg5_chunk_00005,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько дней идёт заказ?,,Доставка > Сколько дней идёт заказ?,"# Доставка
## Сколько дней идёт заказ?

Срок доставки зависит от выбранного способа доставки и региона.

- Курьерская доставка по Москве и Санкт-Петербургу: 1–2 рабочих дня - Курьерская доставка по регионам России: 3–7 рабочих дней - Почта России: 7–14 рабочих дней - Самовывоз из пункта выдачи СДЭК: 2–5 рабочих дней - Экспресс-доставка по Москве: в день заказа

---",96
stg5_chunk_00006,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Какие есть способы доставки?,,Доставка > Какие есть способы доставки?,"# Доставка
## Какие есть способы доставки?

Доступны следующие способы доставки:

1. Курьерская доставка СДЭК 2. Почта России 3. Самовывоз из пунктов выдачи СДЭК 4. Экспресс-доставка по Москве

---",50
stg5_chunk_00007,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли оформить самовывоз?,,Доставка > Можно ли оформить самовывоз?,"# Доставка
## Можно ли оформить самовывоз?

Да, можно оформить самовывоз из пунктов выдачи СДЭК.

- Более 2000 пунктов по всей России - Бесплатно при любой сумме заказа - Срок доставки в пункт: 2–5 рабочих дней - Хранение в пункте: до 7 дней бесплатно

---",64
stg5_chunk_00008,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Есть ли экспресс-доставка?,,Доставка > Есть ли экспресс-доставка?,"# Доставка
## Есть ли экспресс-доставка?

Да, для Москвы доступна экспресс-доставка.

- Доставка в день заказа - Стоимость: 800₽ - Заказ должен быть оформлен и оплачен до 12:00 - Доставка осуществляется с 18:00 до 22:00

---",53
stg5_chunk_00009,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько стоит доставка?,,Доставка > Сколько стоит доставка?,"# Доставка
## Сколько стоит доставка?

Стоимость доставки зависит от способа и региона.",16
stg5_chunk_00010,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько стоит доставка?,Курьерская доставка,Доставка > Сколько стоит доставка? > Курьерская доставка,"# Доставка
## Сколько стоит доставка?
### Курьерская доставка

- Москва и Санкт-Петербург: 300₽ - Регионы России: от 400₽",32
stg5_chunk_00011,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько стоит доставка?,Почта России,Доставка > Сколько стоит доставка? > Почта России,"# Доставка
## Сколько стоит доставка?
### Почта России

- от 250₽",17
stg5_chunk_00012,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько стоит доставка?,Самовывоз,Доставка > Сколько стоит доставка? > Самовывоз,"# Доставка
## Сколько стоит доставка?
### Самовывоз

- бесплатно",14
stg5_chunk_00013,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Сколько стоит доставка?,Экспресс-доставка по Москве,Доставка > Сколько стоит доставка? > Экспресс-доставка по Москве,"# Доставка
## Сколько стоит доставка?
### Экспресс-доставка по Москве

- 800₽

Также доставка может быть бесплатной при достижении минимальной суммы заказа: - от 5000₽ для Москвы и Санкт-Петербурга - от 7000₽ для регионов - от 10000₽ для Почты России

---",62
stg5_chunk_00014,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Доставляете ли вы в регионы?,,Доставка > Доставляете ли вы в регионы?,"# Доставка
## Доставляете ли вы в регионы?

Да, мы доставляем по всей территории Российской Федерации.

Также доставка доступна в: - Республику Беларусь - Республику Казахстан

---",42
stg5_chunk_00015,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Как отследить доставку?,,Доставка > Как отследить доставку?,"# Доставка
## Как отследить доставку?

После отправки заказа вы получите: - SMS с трек-номером - Email с трек-номером - Уведомление в личном кабинете

Отследить посылку можно: - на сайте транспортной компании - в разделе «Мои заказы»

---",67
stg5_chunk_00016,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Можно ли изменить адрес доставки?,,Доставка > Можно ли изменить адрес доставки?,"# Доставка
## Можно ли изменить адрес доставки?

Да, адрес доставки можно изменить:

- до момента отправки заказа со склада - через личный кабинет в разделе «Мои заказы» - через службу поддержки

После отправки заказа изменение возможно только через транспортную компанию. В некоторых случаях может потребоваться доплата.

---",65
stg5_chunk_00017,delivery,faq,delivery_policy.md,backend\data\knowledge_base\delivery_policy.md,Доставка,Что проверять при получении заказа?,,Доставка > Что проверять при получении заказа?,"# Доставка
## Что проверять при получении заказа?

При получении заказа рекомендуется:

- проверить комплектность - проверить целостность упаковки - проверить товар на наличие дефектов

Если обнаружена проблема, не забирайте заказ и сразу свяжитесь со службой поддержки.",54
stg5_chunk_00018,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Какие есть способы оплаты?,,Оплата > Какие есть способы оплаты?,"# Оплата
## Какие есть способы оплаты?

Доступны следующие способы оплаты:

1. Банковская карта 2. СБП (Система быстрых платежей) 3. Apple Pay / Google Pay 4. Оплата при получении (наложенный платёж)

---",56
stg5_chunk_00019,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Можно ли оплатить заказ онлайн?,,Оплата > Можно ли оплатить заказ онлайн?,"# Оплата
## Можно ли оплатить заказ онлайн?

Да, заказ можно оплатить онлайн следующими способами:

- банковской картой - через СБП - через Apple Pay - через Google Pay

При онлайн-оплате деньги списываются сразу после оформления заказа.

---",55
stg5_chunk_00020,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Можно ли оплатить картой?,,Оплата > Можно ли оплатить картой?,"# Оплата
## Можно ли оплатить картой?

Да, заказ можно оплатить банковской картой.

Принимаются карты: - Visa - MasterCard - МИР - Maestro

---",37
stg5_chunk_00021,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Есть ли оплата при получении?,,Оплата > Есть ли оплата при получении?,"# Оплата
## Есть ли оплата при получении?

Да, доступна оплата при получении — наложенный платёж.

Условия: - дополнительная комиссия: 50₽ - доступно для заказов до 10000₽ - оплатить можно наличными или картой курьеру / в отделении

Ограничения: - недоступно для цифровых товаров - недоступно для товаров на предзаказ

---",84
