pair_id,target_pair,sample_id_1,sample_id_2,text_1,text_2,label_1,label_2,cosine_similarity,decision,target_label,comment
rev_001,payment_refund__return_exchange,stg1_002102,stg1_001237,"Мне нужна информация о вашей политике возврата средств, где я могу ее получить","Мне нужна информация о политике возврата, где я могу ее получить",payment_refund,return_exchange,0.9845080971717834,drop_2,,
rev_002,payment_refund__return_exchange,stg1_002324,stg1_001391,Я хотел бы узнать о вашей чертовой политике возврата денег. Можете ли вы найти какую-нибудь информацию?,"Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",payment_refund,return_exchange,0.9833390712738036,drop_2,,
rev_003,payment_refund__return_exchange,stg1_002094,stg1_001391,"Я хотел бы узнать о вашей политике возврата денег, можете ли вы найти некоторую информацию?","Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",payment_refund,return_exchange,0.9735422134399414,drop_2,,
rev_004,payment_refund__return_exchange,stg1_002213,stg1_001300,"Мне нужна информация о вашей гарантии возврата денег, как я могу ее получить?","Мне нужна информация о вашем процессе возврата, как я могу ее получить?",payment_refund,return_exchange,0.9663192629814148,drop_2,,
rev_005,payment_refund__return_exchange,stg1_002307,stg1_001247,"нужна помощь, чтобы запросить возврат моих денег","Я хотел бы запросить возврат средств, мне нужна помощь",payment_refund,return_exchange,0.9659051299095154,relabel_2,payment_refund,
rev_006,payment_refund__return_exchange,stg1_002224,stg1_001281,"Я хочу узнать о вашей чертовой политике возмещения расходов, где я могу найти дополнительную информацию?","Я хотел бы узнать о вашей чертовой политике возврата, где я могу получить дополнительную информацию",payment_refund,return_exchange,0.9652564525604248,drop_2,,
rev_007,payment_refund__return_exchange,stg1_001438,stg1_002102,мне нужна информация о вашей политике возврата,"Мне нужна информация о вашей политике возврата средств, где я могу ее получить",return_exchange,payment_refund,0.9652414917945862,drop_1,,
rev_008,payment_refund__return_exchange,stg1_002357,stg1_001472,мне нужно отследить возврат средств,Я ищу возврат средств,payment_refund,return_exchange,0.9632858037948608,relabel_2,payment_refund,
rev_009,payment_refund__return_exchange,stg1_001396,stg1_002307,"я хочу вернуть деньги, помогите мне запросить это","нужна помощь, чтобы запросить возврат моих денег",return_exchange,payment_refund,0.9611123204231262,relabel_1,payment_refund,
rev_010,payment_refund__return_exchange,stg1_002325,stg1_001222,"хочу узнать о твоем чертовом процессе возврата денег, дай мне немного информации","хочу узнать больше о твоем чертовом процессе возврата, могу найти некоторую информацию",payment_refund,return_exchange,0.9602051377296448,drop_2,,
rev_011,payment_refund__return_exchange,stg1_001365,stg1_002307,"мне нужно запросить чертов возврат денег, мне нужна помощь","нужна помощь, чтобы запросить возврат моих денег",return_exchange,payment_refund,0.9599615335464478,relabel_1,payment_refund,
rev_012,payment_refund__return_exchange,stg1_002316,stg1_001246,"Мне нужно проверить, в каких случаях я могу запросить возмещение","мне нужно запросить возмещение, где я могу это сделать",payment_refund,return_exchange,0.9590333104133606,relabel_2,payment_refund,
rev_013,payment_refund__return_exchange,stg1_002080,stg1_001391,"Я хотел бы узнать о вашей чертовой политике возврата денег, дайте мне немного информации.","Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",payment_refund,return_exchange,0.9589958786964417,drop_2,,
rev_014,payment_refund__return_exchange,stg1_002245,stg1_001202,"Я хочу проверить вашу политику возврата, помогите мне.","Мне бы хотелось увидеть, что ваша политика возврата поможет мне",payment_refund,return_exchange,0.9589923024177552,drop_both,,
rev_015,payment_refund__return_exchange,stg1_002346,stg1_001246,"Мне нужно посмотреть, в каких ситуациях я могу попросить возмещение","мне нужно запросить возмещение, где я могу это сделать",payment_refund,return_exchange,0.9587570428848268,relabel_1,return_exchange,
rev_016,payment_refund__return_exchange,stg1_002247,stg1_001222,"Я хочу узнать больше о вашей чертовой гарантии возврата денег, можете ли вы найти какую-нибудь информацию?","хочу узнать больше о твоем чертовом процессе возврата, могу найти некоторую информацию",payment_refund,return_exchange,0.9587510824203492,hard_negative,,
rev_017,payment_refund__return_exchange,stg1_002333,stg1_001308,Мне нужно проверить процесс возврата средств. Могу ли я получить помощь?,"Я хотел бы запросить возврат средств, могу ли я получить некоторую помощь?",payment_refund,return_exchange,0.9583715796470642,relabel_2,payment_refund,
rev_018,payment_refund__return_exchange,stg1_002104,stg1_001318,"Мне нужно сделать чертов платеж, где я могу это сделать?","Я хочу потребовать чертовски возмещение, где я могу это сделать?",payment_refund,return_exchange,0.9578359723091124,drop_1,,
rev_019,payment_refund__return_exchange,stg1_002106,stg1_001262,Я хотел бы увидеть статус моего возврата. Вы мне поможете?,Я хотел бы проверить ваши правила возврата. Не могли бы вы мне помочь?,payment_refund,return_exchange,0.9575915932655334,relabel_1,return_exchange,
