text,category
"Мне нужна помощь, чтобы найти заказ dbdmu6f5.",order_status
"Мне нужно отправить отзыв, мне нужна помощь",other
Открыть фримиум-аккаунт,account
"Мне нужно отследить свою посылку, как я могу это сделать?",order_status
"Мобильное приложение не работает на моем mac, можно ли сообщить об этой чертовой проблеме?",technical_issue
"У меня есть отзыв о вашей компании, помогите мне отправить его",other
Я пытаюсь поговорить с агентом,other
"Мне нужно отправить идею, могу ли я получить помощь?",other
"Эхо, я получал письма от матери?",general_info
"Мне нужна информация о часах ваших покупок, как я могу ее получить?",general_info
"Один из продуктов неправильный, можно ли об этом сообщить?",return_exchange
Я ищу информацию о чертовых распродажах.,promo_loyalty
"Мне нужно удалить товар из корзины, могу ли я получить помощь?",product_info
"Мне нужна помощь, чтобы получить счет от джона",payment_refund
"Моя поставка неполная, можете ли вы помочь мне сообщить о неполной поставке?",delivery
Могу ли я поменять iem заказа vxymbrvv,order_status
"Помогите мне узнать, в какое время я могу обратиться в службу поддержки клиентов",general_info
Мне нужна помощь в извлечении чертовых товаров из корзины,product_info
Как бы мне заказать несколько статей,order_status
"Мне нужно проверить статус моего заменяющего продукта, помогите мне.",order_status
"Я хочу увидеть наличие товара, мне нужна помощь",product_info
Могу ли я получить список акций олы и uber?,product_info
Подать счет №37777,payment_refund
"Я хочу узнать больше о чертовых распродажах, можешь ли ты найти какую-нибудь информацию?",promo_loyalty
"Мне бы хотелось узнать больше о следующих распродажах, найти некоторую информацию",promo_loyalty
Как я могу использовать ваше приложение?,technical_issue
Мне нужно указать дополнительный адрес доставки.,delivery
"Я хотел бы отправить товар обратно, где я могу это сделать",return_exchange
Помощь в составлении иска,other
"Мне нужно обменять в магазине чертову вещь, купленную в интернете, как я могу это сделать?",return_exchange
"Я хотел бы найти ближайший магазин, не могли бы вы мне помочь?",general_info
"Моя дебетовая карта была отклонена, мне нужна помощь, чтобы сообщить о проблеме с оплатой",payment_refund
"Нужна помощь, оставив отзыв об услуге",product_info
"Я не могу заставить сайт работать, мне нужно сообщить об ошибке",technical_issue
Мне нужна помощь в обмене этого чертового товара,return_exchange
"Мой пароль взломали, помогите мне восстановить его",account
Мне нужна помощь в подаче жалобы клиента,other
"Хочу помочь проверить, есть ли какие-либо новости о моем возврате средств",payment_refund
"Я хотел бы вернуть товары из интернета, мне нужна помощь",return_exchange
"Я купил товар, но выбрал неправильный размер. как я могу изменить свой онлайн-заказ?",order_status
Найди смысл обещания.,general_info
Помогите мне добавить несколько товаров в заказ usi3d4j7,order_status
"Я хочу использовать ваше мобильное приложение, как мне это сделать?",technical_issue
"Я хотел бы отправить идею продукта, вы мне поможете?",other
"Я пытаюсь узнать, в какие часы я могу связаться со службой поддержки клиентов",general_info
"Я хотел бы закрыть свою учетную запись, могу ли я получить помощь?",account
Как искать магазин,general_info
"Мне нужно обменять товар в магазине, вы мне поможете?",return_exchange
"Этот сайт не работает на моем mac, помогите мне сообщить о проблеме",technical_issue
Где я могу заработать несколько статей?,order_status
"Я не могу заставить сайт работать на своем компьютере, мне нужна помощь, чтобы сообщить о чертовой проблеме",technical_issue
"Я ищу информацию о выставке, могу ли я ее получить?",promo_loyalty
"Один из заказанных мной товаров был чертовски поврежден при доставке, сообщите об этом",return_exchange
Я ожидаю возмещения 10 долларов,payment_refund
"Я отправил часть товаров обратно, но не получил замену, как отследить статус обмена?",order_status
"Я заказал некоторые товары, как отменить покупку охфтрзад?",order_status
"Я не могу заставить сайт работать на моем mac, мне нужно сообщить об ошибке",technical_issue
Помощь в разговоре со службой поддержки клиентов,general_info
Каков рост стоимости акций за последнюю неделю дисней?,product_info
"Мне нужно проверить, в какое время я могу обратиться в службу поддержки клиентов",general_info
"Мне не нужен мой профиль, мне нужна помощь, чтобы удалить его",account
"Предмет, который я получил, был сломан, как я мог об этом сообщить?",return_exchange
Мне нужно отменить заказ,order_status
Мне нужна информация о продажах,promo_loyalty
Отменить подписку на рассылку,account
"Мне нужна помощь в обмене товара, который я купил онлайн в магазине.",return_exchange
Сколько евро стоит по сравнению с долларом?,payment_refund
Жду блин возврата 10$,payment_refund
"Мне нужно потребовать вернуть деньги, как я мог это сделать",return_exchange
"Я заказал товар, но не получил счет. можете ли вы мне помочь его получить?",payment_refund
"Мне нужна помощь, чтобы поговорить с кем-то",other
