sample_id,text_original,text_normalized,raw_label,label,source,is_synthetic,is_augmented,is_hard_negative,label_before_review
stg1_002843,"Я бы хотел использовать твое чертово мобильное приложение, как мне это сделать?","я бы хотел использовать твое чертово мобильное приложение, как мне это сделать?",technical_issue,technical_issue,bitext,False,False,False,technical_issue
stg1_000201,"Я хотел бы узнать больше об этом чертовом продукте, можете ли вы дать мне некоторую информацию?","я хотел бы узнать больше об этом чертовом продукте, можете ли вы дать мне некоторую информацию?",product_info,product_info,bitext,False,False,False,product_info
stg1_002023,"Я хотел бы поговорить с чертовым агентом-человеком, могу ли я получить помощь?","я хотел бы поговорить с чертовым агентом-человеком, могу ли я получить помощь?",other,other,bitext,False,False,False,other
stg1_002564,"Я ищу информацию о следующих распродажах, помогите мне.","я ищу информацию о следующих распродажах, помогите мне.",promo_loyalty,promo_loyalty,bitext,False,False,False,promo_loyalty
stg1_002351,помогите мне сообщить об ошибках при онлайн-платеже,помогите мне сообщить об ошибках при онлайн-платеже,payment_refund,payment_refund,ikshana,False,False,False,payment_refund
stg1_000865,"Мне нужно найти то, что я купил, мне нужна помощь в проверке моей гребаной истории покупок.","мне нужно найти то, что я купил, мне нужна помощь в проверке моей гребаной истории покупок.",account,account,bitext,False,False,False,account
stg1_000472,"Я хотел бы проверить чертов статус моей замены, могу ли я получить некоторую помощь?","я хотел бы проверить чертов статус моей замены, могу ли я получить некоторую помощь?",order_status,order_status,bitext,False,False,False,order_status
stg1_000480,"Я хотел бы отменить заказ, вы можете мне помочь?","я хотел бы отменить заказ, вы можете мне помочь?",order_status,order_status,bitext,False,False,False,order_status
stg1_001562,Можете ли вы помочь мне настроить другой адрес доставки?,можете ли вы помочь мне настроить другой адрес доставки?,delivery,delivery,ikshana,False,False,False,delivery
stg1_002149,"Я не знаю, что мне нужно сделать, чтобы получить счет #85632","я не знаю, что мне нужно сделать, чтобы получить счет #85632",payment_refund,payment_refund,ikshana,False,False,False,payment_refund
stg1_002363,"Мне нужна информация о чертовых распродажах, где я могу ее найти?","мне нужна информация о чертовых распродажах, где я могу ее найти?",promo_loyalty,promo_loyalty,bitext,False,False,False,promo_loyalty
stg1_000899,"Мне нужна информация о часах работы вашего магазина, где я могу ее получить?","мне нужна информация о часах работы вашего магазина, где я могу ее получить?",general_info,general_info,bitext,False,False,False,general_info
stg1_002906,Сайт не работает,сайт не работает,technical_issue,technical_issue,synthetic_dataset,True,False,False,technical_issue
stg1_002984,Возврат средств на карту,возврат средств на карту,payment_refund,payment_refund,synthetic_dataset,True,False,False,payment_refund
stg1_001368,"я купил товар, но хочу вернуть его, мне нужна помощь","я купил товар, но хочу вернуть его, мне нужна помощь",return_exchange,return_exchange,bitext,False,False,False,return_exchange
stg1_000351,можно ли будет проверить статус моего заменяющего продукта?,можно ли будет проверить статус моего заменяющего продукта?,order_status,order_status,bitext,False,False,False,order_status
stg1_001580,У вас есть билеты на поезд?,у вас есть билеты на поезд?,delivery,delivery,runlu,False,False,False,delivery
stg1_001738,"хочу узнать больше о сроках доставки моей покупки, могу найти некоторую информацию","хочу узнать больше о сроках доставки моей покупки, могу найти некоторую информацию",delivery,delivery,bitext,False,False,False,delivery
stg1_001671,"хочу проверить время доставки моей покупки, мне нужна помощь","хочу проверить время доставки моей покупки, мне нужна помощь",delivery,delivery,bitext,False,False,False,delivery
stg1_000091,помогите оставить блин отзыв о товарах ру,помогите оставить блин отзыв о товарах ру,product_info,product_info,ikshana,False,False,False,product_info
stg1_001736,"Я бы хотел узнать о сроках доставки моего заказа, могу дать мне некоторую информацию.","я бы хотел узнать о сроках доставки моего заказа, могу дать мне некоторую информацию.",delivery,delivery,bitext,False,False,False,delivery
stg1_002845,"я не могу заставить сайт работать на своем компьютере, могу ли я сообщить об ошибке","я не могу заставить сайт работать на своем компьютере, могу ли я сообщить об ошибке",technical_issue,technical_issue,bitext,False,False,False,technical_issue
stg1_002753,мне нужна помощь в сообщении о технической проблеме с мобильным приложением,мне нужна помощь в сообщении о технической проблеме с мобильным приложением,technical_issue,technical_issue,bitext,False,False,False,technical_issue
stg1_000117,Что такое акции Apple,что такое акции apple,product_info,product_info,runlu,False,False,False,product_info
stg1_003037,Промокод не работает,промокод не работает,promo_loyalty,promo_loyalty,synthetic_dataset,True,False,False,promo_loyalty
stg1_002973,Какой статус заказа 511865?,какой статус заказа 511865?,order_status,order_status,synthetic_dataset,True,False,False,order_status
stg1_002507,"Я ищу информацию о весенних распродажах, как мне ее найти?","я ищу информацию о весенних распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,bitext,False,False,False,promo_loyalty
stg1_002449,"Мне нужна информация о чертовых распродажах, где я могу ее получить?","мне нужна информация о чертовых распродажах, где я могу ее получить?",promo_loyalty,promo_loyalty,bitext,False,False,False,promo_loyalty
stg1_001056,"PDA отправляет почту на компаст, что их сервис отстой.","pda отправляет почту на компаст, что их сервис отстой.",general_info,general_info,runlu,False,False,False,general_info
stg1_002140,можно ли получить возмещение моих денег,можно ли получить возмещение моих денег,payment_refund,payment_refund,ikshana,False,False,False,payment_refund
stg1_000446,"что мне нужно сделать, чтобы отменить покупку PAOLFJT6?","что мне нужно сделать, чтобы отменить покупку paolfjt6?",order_status,order_status,ikshana,False,False,False,order_status
stg1_000204,"хочу сообщить о чертовых проблемах с полученным мной продуктом, мне поможет","хочу сообщить о чертовых проблемах с полученным мной продуктом, мне поможет",product_info,product_info,bitext,False,False,False,product_info
stg1_001943,Мне нужно отправить чертов отзыв о твоем бренде. Можете мне помочь?,мне нужно отправить чертов отзыв о твоем бренде. можете мне помочь?,other,other,bitext,False,False,False,other
stg1_001004,Есть какие-нибудь новые письма от...?,есть какие-нибудь новые письма от...?,general_info,general_info,runlu,False,False,False,general_info
stg1_000110,Какова цена AMD на фондовом рынке?,какова цена amd на фондовом рынке?,product_info,product_info,runlu,False,False,False,product_info
stg1_000337,"Мне нужно изменить свой чертов заказ перед отправкой, где это сделать?","мне нужно изменить свой чертов заказ перед отправкой, где это сделать?",order_status,order_status,bitext,False,False,False,order_status
stg1_001005,"PDA, География, пожалуйста?","pda, география, пожалуйста?",general_info,general_info,runlu,False,False,False,general_info
stg1_002130,мне нужна помощь в проверке способов оплаты,мне нужна помощь в проверке способов оплаты,payment_refund,payment_refund,ikshana,False,False,False,payment_refund
stg1_001941,"Я тебя не понимаю, мне нужна помощь, чтобы поговорить с кем-нибудь, блядь,","я тебя не понимаю, мне нужна помощь, чтобы поговорить с кем-нибудь, блядь,",other,other,bitext,False,False,False,other
stg1_002373,где я могу найти информацию о распродажах?,где я могу найти информацию о распродажах?,promo_loyalty,promo_loyalty,bitext,False,False,False,promo_loyalty
stg1_002211,Я хотел бы увидеть чертов статус моего возмещения. Не могли бы вы мне помочь?,я хотел бы увидеть чертов статус моего возмещения. не могли бы вы мне помочь?,payment_refund,payment_refund,bitext,False,False,False,payment_refund
stg1_001660,можно ли сделать заказ из Индии?,можно ли сделать заказ из индии?,delivery,delivery,ikshana,False,False,False,delivery
stg1_001801,могу ли я предложить чертовски продукт?,могу ли я предложить чертовски продукт?,other,other,bitext,False,False,False,other
stg1_001581,Во сколько поезд отправляется в Айову?,во сколько поезд отправляется в айову?,delivery,delivery,runlu,False,False,False,delivery
stg1_000550,проблемы с исправлением порядка WGFN46EY,проблемы с исправлением порядка wgfn46ey,order_status,order_status,ikshana,False,False,False,order_status
stg1_000664,"Мне нужно изменить свою учетную запись пользователя, где я могу это сделать?","мне нужно изменить свою учетную запись пользователя, где я могу это сделать?",account,account,bitext,False,False,False,account
stg1_001219,"Мне нравится информация о товаре в магазине, где я могу его получить","мне нравится информация о товаре в магазине, где я могу его получить",return_exchange,return_exchange,bitext,False,False,False,return_exchange
stg1_001998,"Я хотел бы предложить идеи по улучшению продукта, где мне это сделать?","я хотел бы предложить идеи по улучшению продукта, где мне это сделать?",other,other,bitext,False,False,False,other
stg1_000589,где я могу проверить плату за прекращение?,где я могу проверить плату за прекращение?,order_status,order_status,ikshana,False,False,False,order_status
stg1_001079,"мне нужно посмотреть часы твоих покупок, мне нужна помощь","мне нужно посмотреть часы твоих покупок, мне нужна помощь",general_info,general_info,bitext,False,False,False,general_info
stg1_000872,мне нужно уведомлять об ошибках при регистрации,мне нужно уведомлять об ошибках при регистрации,account,account,ikshana,False,False,False,account
stg1_000420,Можете ли вы помочь мне увидеть плату за отмену?,можете ли вы помочь мне увидеть плату за отмену?,order_status,order_status,ikshana,False,False,False,order_status
stg1_001432,"Я хотел бы обменять товар, купленный онлайн, в магазине, где я могу это сделать?","я хотел бы обменять товар, купленный онлайн, в магазине, где я могу это сделать?",return_exchange,return_exchange,bitext,False,False,False,return_exchange
stg1_001263,"Я пытаюсь найти чертову компенсацию, помогите мне.","я пытаюсь найти чертову компенсацию, помогите мне.",return_exchange,return_exchange,bitext,False,False,False,return_exchange
stg1_001254,"Мне нужно вернуть заказ онлайн, мне нужна помощь","мне нужно вернуть заказ онлайн, мне нужна помощь",return_exchange,return_exchange,bitext,False,False,False,return_exchange
stg1_000468,"Я хотел бы отменить онлайн-заказ, можете ли вы мне помочь?","я хотел бы отменить онлайн-заказ, можете ли вы мне помочь?",order_status,order_status,bitext,False,False,False,order_status
stg1_000747,"Мне нужна чертова учетная запись пользователя, да!","мне нужна чертова учетная запись пользователя, да!",account,account,bitext,False,False,False,account
stg1_001488,"мне нужно сообщить о чертовой проблеме с доставкой, где я могу это сделать","мне нужно сообщить о чертовой проблеме с доставкой, где я могу это сделать",delivery,delivery,bitext,False,False,False,delivery
stg1_000288,"Я хотел бы удалить офигенные товары из корзины, где это сделать?","я хотел бы удалить офигенные товары из корзины, где это сделать?",product_info,product_info,bitext,False,False,False,product_info
