text,category,source,language,text_original_en
"хочу подтвердить наличие товара в магазине, могу ли я получить помощь",product_info,bitext,ru,wanna cofirm the availability of an item in store can i get some help
"Мне нужно проверить наличие этого чертового предмета, могу ли я получить помощь?",product_info,bitext,ru,"I have to check the fucking item availability, could I get some help?"
"Я хочу удалить товар из корзины, где мне это сделать?",product_info,bitext,ru,"I'd like to remove a product from the basket, where do I do it?"
"продукт, который я купил, работает правильно, могу ли я сообщить о проблеме с продуктом",product_info,bitext,ru,a product i purchased dpesnt work correctly could i report a product problem
Я хотел бы сообщить о дефектах заказанного товара. Можете ли вы мне помочь?,product_info,bitext,ru,"I would like to report defects in a product I ordered, can you help me ?"
"мне нужно проверить наличие товара в магазине, не могли бы вы мне помочь?",product_info,bitext,ru,i got to check the availability of an item in store could ya help me
Я хотел бы сообщить об ошибке в заказанном мной товаре. Могу ли я это сделать?,product_info,bitext,ru,"I would like to report an error with a product I ordered, were can I do it?"
"Мне нравится информация о чертовом продукте, как я могу ее получить?",product_info,bitext,ru,id like information about a fucking product how could i get it
заказанный мной продукт не работает должным образом. Можете ли вы мне помочь сообщить о проблеме с продуктом?,product_info,bitext,ru,"a product I ordered doesn't work correctly, can you hwlp me report a fucking product problem?"
Мне нужно подтвердить наличие товаров в магазине. Могу ли я получить помощь?,product_info,bitext,ru,"I got to confirm the availability of products in store, can I get some help?"
"продукт, который я заказал, работает неправильно, могу ли я сообщить о проблеме с продуктом",product_info,bitext,ru,a product i ordeted doesnt work correctly could i report a product issue
"хочу знать о продуктах, могу найти некоторую информацию",product_info,bitext,ru,wana know about products could ufind some information
не могли бы вы помочь мне проверить наличие этого чертового товара онлайн?,product_info,bitext,ru,could you help me to check the availability of an fucking product online?
"хочу сообщить об ошибках в купленном мной проекте, где я могу это сделать",product_info,bitext,ru,wanna report fucking errors with a prodjct i bought where can i do it
"Мне нужно удалить чертовы товары из корзины, могу ли я получить помощь?",product_info,bitext,ru,"I have to remove fucking products from the cart, can I get some help?"
Я хотел бы увидеть доступность этого чертового продукта в Интернете.,product_info,bitext,ru,I'd like to see the availability of a fucking product online
