text,category
"Есть ли электронное письмо, по которому можно отправить отзыв о вашей продукции?",product_info
"Мне нужна помощь, чтобы сбросить ключ моей учетной записи",account
Я должен подать иск,other
"Я ищу информацию о чертовом товаре в магазине, помогите мне.",return_exchange
"Ищу информацию о чертовых продуктах, где ее взять?",product_info
"Я не могу заставить сайт работать на моем mac, мне нужно сообщить об ошибке",technical_issue
"Я пытаюсь узнать, в какие часы я могу связаться со службой поддержки клиентов",general_info
Как мне изменить покупку e8tgxpc4?,order_status
"Хочу узнать стоимость рассылки, как мне это сделать?",delivery
Есть что-нибудь от эмилии?,general_info
"Мне нужна информация о чертовых весенних распродажах, где я могу ее получить?",promo_loyalty
"Я хотел бы подтвердить наличие продуктов онлайн, мне нужна помощь",product_info
Как я могу связаться со службой поддержки клиентов,general_info
Как сообщить о проблемах с регистрацией,account
Сколько [валюта_источник: доллары] в фунте?,payment_refund
"Мне нужно найти свою чертову посылку, где ее взять?",order_status
"Мне нужна информация о зимних распродажах, как я могу ее получить",promo_loyalty
Как я могу оставить комментарий о товаре?,other
Сколько стоит акции фбр?,product_info
"Мне нужна информация о распродажах, где я могу ее получить?",promo_loyalty
"Я бы хотел обменять товар в магазине, где я могу это сделать?",return_exchange
"Я не знаю, что делать, чтобы поговорить с кем-то",other
"Я тебя не понимаю, помоги мне поговорить с чертовым человеком.",other
"Я бы хотел заплатить чертовой картой, ты можешь мне помочь?",payment_refund
Я ищу информацию о зимних распродажах,promo_loyalty
Не могли бы помочь мне отследить мою посылку,order_status
Мне нужна помощь в приобретении некоторых ваших продуктов,order_status
"Хочу найти магазины в моем районе, могу ли я получить помощь",general_info
Можете ли вы помочь мне увидеть наличие этого чертового продукта в интернете?,product_info
Можете ли вы помочь мне отписаться от новостной рассылки?,account
Уведомлять об ошибках при регистрации,account
"Мне нужно отслеживать свой замененный продукт, могу ли я получить помощь?",order_status
"Приложение не работает на моем компьютере, как мне сообщить о проблеме",technical_issue
"Мне нужно узнать, в какое время я могу связаться со службой поддержки клиентов",general_info
"Сайт не работает на моем телефоне, я хочу помочь сообщить о проблеме",technical_issue
"Где я могу проверить, какие способы оплаты вы принимаете?",payment_refund
В какой части страны есть тропические леса?,general_info
"Мне нужно вернуть товар онлайн, как я могу это сделать?",return_exchange
Порядок редактирования cumqfixg,order_status
"Я не знаю, что делать, чтобы увидеть плату за отмену бронирования.",order_status
"Мне нужно поискать магазин, ты мне поможешь?",general_info
"Мне нужно вернуть заказ онлайн, как я могу это сделать",return_exchange
"Я не могу заставить сайт работать на своем компьютере, мне нужна помощь, чтобы сообщить об ошибке",technical_issue
"Продукт, который я получил, неправильный, не могли бы вы помочь мне сообщить об этом?",return_exchange
Как я могу отправить отзыв?,product_info
"Мне нужно воспользоваться твоим чертовым приложением, могу ли я получить помощь?",technical_issue
"Я хотел бы проверить часы работы вашего магазина, могу ли я это сделать",general_info
"Сайт не работает на моем мобильном телефоне, могу ли я сообщить об ошибке?",technical_issue
"Я хотел бы отправить идею продукта, вы мне поможете?",other
Я хотел бы предложить идею по улучшению продукта,other
"Хочу использовать твое мобильное приложение, мне нужна помощь",technical_issue
"Я хотел бы узнать больше о следующих гребаных распродажах, найти некоторую информацию.",promo_loyalty
"Нужно сообщить о технической проблеме с мобильным приложением, мне поможет",technical_issue
"Хочу узнать больше о весенних распродажах, могу найти некоторую информацию",promo_loyalty
"Я хочу узнать больше о следующих распродажах, дайте мне немного информации.",promo_loyalty
Я хочу узнать больше об отмене подписки на рассылку новостей,account
"Хочу использовать твой azpp, где мне это сделать?",technical_issue
Как я могу вернуть товар в магазин,return_exchange
"Я бы хотел вернуть товар онлайн, где мне это сделать?",return_exchange
Помогите мне написать комментарий к услуге,product_info
Я ищу информацию о чертовых распродажах. не могли бы вы мне помочь?,promo_loyalty
"Мне нужно обменять купленный товар, как это сделать?",return_exchange
"Я хочу поговорить с человеком, вы мне поможете?",other
не могу войти,account
Помогите сообщить о проблеме с регистрацией,account
Мне нужно проверить процесс возврата средств. как мне это сделать?,payment_refund
как отследить посылку,order_status
"Я хочу сделать гребаные переводы, могу ли я получить помощь?",payment_refund
куда обратиться,general_info
чем можете помочь,other
"Мне нужно проверить, в какие часы доступна поддержка клиентов",general_info
"Хочу узнать больше о сроках доставки моей покупки, дашь мне некоторую информацию?",delivery
Каковы цены на акции,product_info
вы лучшие,other
"Приложение не работает на моем мобильном телефоне, можно ли сообщить о проблеме",technical_issue
"Мне нужна помощь, чтобы узнать, какие варианты оплаты вы принимаете",payment_refund
"Я хотел бы проверить время доставки моего заказа, помогите мне",delivery
Прислал мне какие-нибудь письма?,general_info
"Мне нужно проверить плату за ранний выход, мне нужна помощь",order_status
Можете помочь мне отправить отзыв о продукте,other
"Хочу узнать о часах работы вашего магазина, где я могу найти дополнительную информацию",general_info
"Я хотел бы получить чертову компенсацию, где я могу это сделать?",return_exchange
Не могли бы вы помочь мне закрыть золотой аккаунт?,account
"У тебя есть номер телефона, чтобы связаться с чертовой службой поддержки клиентов?",general_info
"Я бы хотел вернуть деньги, где мне это сделать?",return_exchange
Как я могу получить информацию о чертовой стоимости доставки?,delivery
"Приложение не работает, сообщите о проблеме",technical_issue
"Я купил товар, но выбрал не ту модель. я хотел бы изменить свой онлайн-заказ.",order_status
Каков обменный курс между динаром и фунтом,payment_refund
как оформить возврат,return_exchange
ваш телефон,general_info
"Мне нужно добавить товар в корзину, помогите мне.",product_info
"Я хочу вернуть купленный товар, что мне делать?",return_exchange
Не могли бы вы помочь мне добавить товары в корзину?,product_info
"Ищу информацию о очередных распродажах, мне нужна помощь",promo_loyalty
"Я хотел бы обменять некоторые товары, где это сделать?",return_exchange
"Хочу оставить отзыв, ты мне поможешь?",other
"Я хотел бы оставить чертовски предложение, могу ли я получить помощь?",other
"Маневры, связанные с дорожной скоростью",delivery
"Один из чертовых товаров, которые я получил, неправильный, помогите мне сообщить об этом",return_exchange
"Я хотел бы предложить чертову идею по улучшению продукта, как я могу это сделать?",other
"Сайт не работает на моем мобильном телефоне, помогите мне сообщить о чертовой проблеме",technical_issue
"Хочу получить счет от джона, помоги мне",payment_refund
"Мне пришлось расплатиться чертовой дебетовой картой, где я мог это сделать?",payment_refund
Как я могу найти информацию о товаре в магазине,return_exchange
"Мне нужно обменять товар в магазине, как я могу это сделать?",return_exchange
"Сири, какой американский доллар в японском йене?",payment_refund
Сколько стоит билет на поезд до денвера отсюда?,delivery
Как я могу получать информационный бюллетень твоей чертовой компании?,account
Что такое johnzena,general_info
"Я не знаю, как отменить покупку jmfuyl0o",order_status
"Я не могу заставить сайт работать на моем компьютере, мне нужно сообщить об ошибке",technical_issue
ошибка при оплате,payment_refund
Можешь показать мне эту чертову историю покупок?,account
"Я хочу добавить товары в корзину, где я могу это сделать?",product_info
"Мне нужно отправить отзыв, могу ли я получить помощь?",other
"Мне нужно отменить чертову вещь, как мне это сделать?",order_status
"Сайт не работает на моем мобильном телефоне, как сообщить об ошибке",technical_issue
"Я бы хотел вернуть этот заказ, мне нужна помощь.",return_exchange
"Я купил офигенный товар, но выбрал не ту модель, хочу обновить заказ.",order_status
хочу пожаловаться,other
гарантийный случай,return_exchange
"Приложение не работает на моем телефоне, мне нужно сообщить об этой чертовой проблеме",technical_issue
Мне нужна помощь в редактировании заказа 056qw26f,order_status
"Сайт не работает на моем компьютере, можно ли сообщить об этой проблеме?",technical_issue
"Я не знаю, как связаться со службой поддержки клиентов",general_info
"Я хотел бы отправить идею продукта, как я могу это сделать?",other
Какова текущая цена акций...,product_info
"Помогите проверить, как скоро я получу свой продукт",delivery
Я хотел бы сообщить о проблемах с доставкой моего заказа. могу ли я получить помощь?,delivery
"Я хотел бы обменять купленный товар, не могли бы вы мне помочь?",return_exchange
"Где посмотреть, в какие часы я могу связаться со службой поддержки?",general_info
"Мне нужно отменить пункт, где мне это сделать",order_status
"Нужно удалить товары из корзины, можете мне помочь",product_info
"Я хочу добавить товар в корзину, где это можно сделать?",product_info
"Ищу информацию о распродаже, где ее можно получить",promo_loyalty
Произошла ошибка при отправке адреса доставки,delivery
Мне нужно отправить комментарий о вашей компании.,other
Помогите отправить отзыв о вашей продукции,product_info
"Моя посылка была отправлена ​​не на тот адрес, мне нужна помощь, чтобы сообщить о проблемах с доставкой",delivery
Мне нужна помощь в обмене купленных мной товаров,return_exchange
Где проверить какие способы доставки доступны?,delivery
"Мне нужно отправить электронное письмо в службу поддержки клиентов, как я могу это сделать",general_info
Помогите мне проверить чертову историю покупок,account
хочу обменять на другой размер,return_exchange
"Я хочу узнать больше о следующих распродажах, можешь ли ты дать мне какую-нибудь информацию?",promo_loyalty
"Я хотел бы вернуть товар, который я купил в магазине онлайн",return_exchange
"Я хотел бы узнать о вашей политике возврата денег, можете ли вы найти некоторую информацию?",payment_refund
где мой товар?,order_status
Где проверить наличие товара в магазине?,product_info
"Я хочу узнать больше о чертовых распродажах, вы найдете какую-нибудь информацию?",promo_loyalty
"Хочу увидеть твой процесс возврата, мог бы мне помочь",return_exchange
"Я бы хотел воспользоваться твоим чертовым мобильным приложением, мне нужна помощь",technical_issue
"Я ищу информацию о распродажах, помогите мне.",promo_loyalty
Отменить заказ xdl2ck5c,order_status
"Приложение не работает на моем телефоне, я должен сообщить об этой чертовой проблеме",technical_issue
Хочу знать о чертовом продукте,product_info
"Я хотел бы узнать больше о распродажах, дайте мне некоторую информацию.",promo_loyalty
Я хочу удалить товар из корзины,product_info
"Я хочу отменить онлайн-заказ, вы можете мне помочь?",order_status
"Мне нужно проверить часы работы, где я могу это сделать",general_info
Я пытаюсь подать жалобу клиента,other
"Я сделал заказ и не получил счет, мне нужна помощь с его получением",payment_refund
"Я не могу заставить веб-сайт работать на моем mac, мне нужна помощь, чтобы сообщить о проблеме",technical_issue
Мне нужно сообщить о проблемах с доставкой моего груза. где я могу это сделать?,delivery
Открытие премиум-аккаунта для жены,account
Мне нужна информация о чертовых распродажах,promo_loyalty
"Нужно проверить часы работы твоего чертового магазина, можешь мне помочь",general_info
Оставить отзыв об услуге,product_info
См. законопроект № 12588,payment_refund
"Я звоню, чтобы узнать, как скоро мне ожидать посылку.",delivery
"Я хотел бы отправить комментарий о вашем бренде, где это сделать",other
Время работы поезда,delivery
"Мне нужно обновить свой заказ, прежде чем ты его отправишь, помогите мне",order_status
"У меня не работает сайт на моем mac, помогите мне сообщить о чертовой проблеме.",technical_issue
"Мне нужно отправить комментарий к товару, где это сделать?",other
"Мне не нужен мой профиль, помоги мне закрыть его.",account
Могу ли я переключить что-нибудь порядка dpdgr17c?,order_status
"Я хотел бы узнать больше о продажах iwnter, дам мне некоторую информацию.",promo_loyalty
"Я совершил покупку, но не получил счет, как мне его скачать",payment_refund
Помогите удалить некоторые товары из покупки ezgn9lrn,order_status
"Мне нужна помощь, чтобы отправить предложение",other
"Хочу указать дополнительный адрес доставки, как это сделать?",delivery
"Я хотел бы узнать о чертовых продуктах, как я могу получить больше информации?",product_info
"Некоторые продукты в моей посылке указаны неверно, мне нужна помощь, чтобы сообщить о них",return_exchange
"Можете ли вы помочь мне узнать, какие варианты оплаты вы принимаете?",payment_refund
"Я хотел бы узнать больше о следующих распродажах, ты дашь мне некоторую информацию?",promo_loyalty
"Я хотел бы узнать больше о распродажах, вы найдете какую-нибудь информацию?",promo_loyalty
"Олли, ты должен найти другой путь к моему месту назначения.",delivery
"Я не понимаю, как мне поговорить с агентом-человеком",other
"Я хотел бы узнать больше о чертовых продуктах, можете ли вы дать мне некоторую информацию?",product_info
Я должен сообщить о проблемах с оплатой,payment_refund
"Мне нужно вернуть товар, может мне поможет",return_exchange
сроки доставки,delivery
"Мой профиль взломали, мне нужна помощь в сбросе пароля",account
"Мне нужна информация о следующих распродажах, как я могу ее получить?",promo_loyalty
Нужно отписаться от вашей рассылки,account
Asxsistance получение вашего информационного бюллетеня,account
"Мне нужно сообщить о проблеме с приложением, где это сделать?",technical_issue
"Я хотел бы использовать ваше приложение, как я могу это сделать?",technical_issue
"Мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",product_info
"Мне нужно купить кое-какие вещи, могу ли я получить помощь?",order_status
"Я хотел бы использовать ваше мобильное приложение, как мне это сделать?",technical_issue
Есть ли у вас способ оставить отзыв о ваших услугах?,product_info
Помогите мне связаться с кем-нибудь,other
"Я хотел бы проверить, где находится моя доставка, не могли бы вы мне помочь?",order_status
"Мне бы хотелось получить информацию о следующих распродажах, как мне ее найти?",promo_loyalty
"Я бы хотел использовать твое приложение, где это сделать",technical_issue
Хочу узнать больше о чертовых весенних распродажах,promo_loyalty
Мне нужна помощь с проверкой часов работы твоего чертового магазина.,general_info
"Я хотел бы обменять некачественный товар в магазине, где я могу это сделать?",return_exchange
"Я ищу информацию о твоих чертовых часах работы, ты мне поможешь?",general_info
Не могли бы вы помочь мне отправить жалобы на продукты?,other
