sample_id_1,sample_id_2,text_1,text_2,label_1,label_2,cosine_similarity,review_status,review_comment
stg1_002102,stg1_001237,"Мне нужна информация о вашей политике возврата средств, где я могу ее получить","Мне нужна информация о политике возврата, где я могу ее получить",payment_refund,return_exchange,0.9845080971717834,,
stg1_001237,stg1_002102,"Мне нужна информация о политике возврата, где я могу ее получить","Мне нужна информация о вашей политике возврата средств, где я могу ее получить",return_exchange,payment_refund,0.9845080971717834,,
stg1_002324,stg1_001391,Я хотел бы узнать о вашей чертовой политике возврата денег. Можете ли вы найти какую-нибудь информацию?,"Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",payment_refund,return_exchange,0.9833390712738037,,
stg1_001391,stg1_002324,"Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",Я хотел бы узнать о вашей чертовой политике возврата денег. Можете ли вы найти какую-нибудь информацию?,return_exchange,payment_refund,0.9833390712738037,,
stg1_001814,stg1_000086,"Я хотел бы оставить отзыв о продукте, мне нужна помощь","Мне нужна помощь, чтобы оставить отзыв о продукте",other,product_info,0.9806579947471619,,
stg1_000086,stg1_001814,"Мне нужна помощь, чтобы оставить отзыв о продукте","Я хотел бы оставить отзыв о продукте, мне нужна помощь",product_info,other,0.9806579947471619,,
stg1_001824,stg1_000295,мне нужна помощь в отправке отзыва о продукте,Мне нужна помощь в написании отзыва о продукте,other,product_info,0.9806264638900757,,
stg1_000295,stg1_001824,Мне нужна помощь в написании отзыва о продукте,мне нужна помощь в отправке отзыва о продукте,product_info,other,0.9806264638900757,,
stg1_000815,stg1_002279,"я бы хотел открыть чертов счет, могу ли я получить помощь","мне нужно запросить чертов счет, могу ли я получить помощь",account,payment_refund,0.9797900915145874,,
stg1_002279,stg1_000815,"мне нужно запросить чертов счет, могу ли я получить помощь","я бы хотел открыть чертов счет, могу ли я получить помощь",payment_refund,account,0.9797900915145874,,
stg1_002043,stg1_000058,Мне нужно отправить отзыв,Я должен отправить свой отзыв,other,product_info,0.9797554016113281,,
stg1_000058,stg1_002043,Я должен отправить свой отзыв,Мне нужно отправить отзыв,product_info,other,0.9797554016113281,,
stg1_001973,stg1_000064,можно ли отправить отзыв о продукте?,как я могу отправить отзыв о продукте?,other,product_info,0.9795438051223755,,
stg1_000064,stg1_001973,как я могу отправить отзыв о продукте?,можно ли отправить отзыв о продукте?,product_info,other,0.9795438051223755,,
stg1_000472,stg1_002071,"Я хотел бы проверить чертов статус моей замены, могу ли я получить некоторую помощь?","Мне нужно увидеть чертов статус моего возмещения, могу ли я получить некоторую помощь?",order_status,payment_refund,0.9783557653427124,,
stg1_002071,stg1_000472,"Мне нужно увидеть чертов статус моего возмещения, могу ли я получить некоторую помощь?","Я хотел бы проверить чертов статус моей замены, могу ли я получить некоторую помощь?",payment_refund,order_status,0.9783557653427124,,
stg1_000186,stg1_002043,Мне нужно отправить отзыв об услуге,Мне нужно отправить отзыв,product_info,other,0.9773162007331848,,
stg1_000196,stg1_002396,"Я хотел бы узнать больше о чертовых продуктах, можете ли вы дать мне некоторую информацию?","Я хотел бы узнать больше о чертовых продажах, можете ли вы дать мне некоторую информацию?",product_info,promo_loyalty,0.9767017364501953,,
stg1_002396,stg1_000196,"Я хотел бы узнать больше о чертовых продажах, можете ли вы дать мне некоторую информацию?","Я хотел бы узнать больше о чертовых продуктах, можете ли вы дать мне некоторую информацию?",promo_loyalty,product_info,0.9767017364501953,,
stg1_002050,stg1_000075,помогите мне оставить отзыв о продукте,помогите мне оставить отзыв о вашей продукции,other,product_info,0.9763979911804199,,
stg1_000075,stg1_002050,помогите мне оставить отзыв о вашей продукции,помогите мне оставить отзыв о продукте,product_info,other,0.9763979911804199,,
stg1_001774,stg1_000295,"Мне нужно отправить отзыв о продукте, мне нужна помощь",Мне нужна помощь в написании отзыва о продукте,other,product_info,0.9761551022529602,,
stg1_000376,stg1_000248,удалить товар из заказа,удалить товар из корзины,order_status,product_info,0.9756543040275574,,
stg1_000248,stg1_000376,удалить товар из корзины,удалить товар из заказа,product_info,order_status,0.9756543040275574,,
stg1_002435,stg1_001340,"Я ищу информацию о чертовых распродажах, мне нужна помощь.","Я ищу информацию о чертовом товаре в магазине, мне нужна помощь.",promo_loyalty,return_exchange,0.9754161834716797,,
stg1_001340,stg1_002435,"Я ищу информацию о чертовом товаре в магазине, мне нужна помощь.","Я ищу информацию о чертовых распродажах, мне нужна помощь.",return_exchange,promo_loyalty,0.9754161834716797,,
stg1_000084,stg1_001824,помощь в отправке отзывов о продукте,мне нужна помощь в отправке отзыва о продукте,product_info,other,0.9753544330596924,,
stg1_001771,stg1_000295,"мне нужно отправить отзыв о продукте, помогите мне",Мне нужна помощь в написании отзыва о продукте,other,product_info,0.9744247198104858,,
stg1_001511,stg1_000035,Я хотел бы сообщить о проблемах с доставкой моего заказа. Могу ли я получить помощь?,Я хотел бы сообщить о проблеме с приобретенным мной продуктом. Могу ли я получить помощь?,delivery,product_info,0.9739760756492615,,
stg1_000035,stg1_001511,Я хотел бы сообщить о проблеме с приобретенным мной продуктом. Могу ли я получить помощь?,Я хотел бы сообщить о проблемах с доставкой моего заказа. Могу ли я получить помощь?,product_info,delivery,0.9739760756492615,,
stg1_000178,stg1_001774,"Мне нужно сообщить об ошибке продукта, мне нужна помощь","Мне нужно отправить отзыв о продукте, мне нужна помощь",product_info,other,0.9739442467689514,,
stg1_000290,stg1_002367,"Я ищу информацию о чертовом продукте, могу ли я получить помощь?",Я ищу информацию о чертовой распродаже. Могу ли я получить помощь?,product_info,promo_loyalty,0.9736469984054565,,
stg1_002367,stg1_000290,Я ищу информацию о чертовой распродаже. Могу ли я получить помощь?,"Я ищу информацию о чертовом продукте, могу ли я получить помощь?",promo_loyalty,product_info,0.9736469984054565,,
stg1_002094,stg1_001391,"Я хотел бы узнать о вашей политике возврата денег, можете ли вы найти некоторую информацию?","Я хочу узнать о вашей чертовой политике возврата, можете ли вы найти какую-нибудь информацию?",payment_refund,return_exchange,0.9735422134399414,,
stg1_001963,stg1_000035,"Я хотел бы оставить комментарий о продукте, могу ли я получить помощь?",Я хотел бы сообщить о проблеме с приобретенным мной продуктом. Могу ли я получить помощь?,other,product_info,0.9731587171554565,,
stg1_001694,stg1_000184,"хочу сообщить о проблеме с доставкой моего заказа, мне нужна помощь","Я хотел бы сообщить о проблеме с купленным мной продуктом, мне нужна помощь",delivery,product_info,0.9731263518333435,,
stg1_000184,stg1_001694,"Я хотел бы сообщить о проблеме с купленным мной продуктом, мне нужна помощь","хочу сообщить о проблеме с доставкой моего заказа, мне нужна помощь",product_info,delivery,0.9731263518333435,,
stg1_002548,stg1_000196,"Я хотел бы узнать больше о чертовых распродажах, можете ли вы дать мне некоторую информацию?","Я хотел бы узнать больше о чертовых продуктах, можете ли вы дать мне некоторую информацию?",promo_loyalty,product_info,0.9719405174255371,,
stg1_000802,stg1_000449,"Мне нужно просмотреть мою чертову историю заказов, можешь мне помочь?","Мне нужно найти свой чертов заказ, ты можешь мне помочь?",account,order_status,0.9717736840248108,,
stg1_000449,stg1_000802,"Мне нужно найти свой чертов заказ, ты можешь мне помочь?","Мне нужно просмотреть мою чертову историю заказов, можешь мне помочь?",order_status,account,0.9717736840248108,,
stg1_000569,stg1_002085,"Мне нужна информация о статусе моей замены, как я могу ее получить?","Мне нужна информация о статусе моего возмещения, как я могу ее получить?",order_status,payment_refund,0.9717383980751038,,
stg1_002085,stg1_000569,"Мне нужна информация о статусе моего возмещения, как я могу ее получить?","Мне нужна информация о статусе моей замены, как я могу ее получить?",payment_refund,order_status,0.9717383980751038,,
